price,brand,model,socket
327.95,Intel,Core i5-13600KF,1700
237.95,AMD,Ryzen 7 5800X,AM4
161.95,AMD,Ryzen 5 5600X,AM4
110.95,AMD,Ryzen 5 5500,AM4
320.95,Intel,Core i7-12700KF,1700
177.95,Intel,Core i5-12400F,1700
443.95,Intel,Core i7-13700KF,1700
85.95,AMD,Ryzen 5 3600,AM4
247.95,Intel,Core i5-12600KF,1700
645.95,Intel,Core i9-13900K,1700
382.95,AMD,Ryzen 7 7700X,AM5
271.95,AMD,Ryzen 5 7600X,AM5
476.95,Intel,Core i7-13700K,1700
238.95,AMD,Ryzen 7 5700X,AM4
210.95,AMD,Ryzen 7 5700G,AM4
156.95,AMD,Ryzen 5 5600,AM4
362.95,Intel,Core i7-12700K,1700
228.95,Intel,Core i5-13400F,1700
358.95,Intel,Core i5-13600K,1700
373.95,AMD,Ryzen 9 5900X,AM4
500.95,AMD,Ryzen 7 7800X3D,AM5
616.95,Intel,Core i9-13900KF,1700
153.95,AMD,Ryzen 5 5600G,AM4
100.95,Intel,Core i3-12100F,1700
204.95,Intel,Core i5-12400,1700
281.95,Intel,Core i5-12600K,1700
489.95,Intel,Core i9-12900K,1700
113.95,AMD,Ryzen 5 4600G,AM4
410.95,Intel,Core i7-13700F,1700
102.95,Intel,Core i5-10400F,1200
143.95,Intel,Core i3-12100,1700
339.95,AMD,Ryzen 7 5800X3D,AM4
128.95,Intel,Core i3-13100F,1700
145.95,Intel,Core i5-10400,1200
484.95,AMD,Ryzen 9 7900X,AM5
96.95,AMD,Ryzen 5 4500,AM4
255.95,Intel,Core i5-12500,1700
585.95,AMD,Ryzen 9 7900X3D,AM5
358.95,Intel,Core i7-12700,1700
51.5,Intel,,1200
594.95,AMD,Ryzen 9 7950X,AM5
278.95,Intel,Core i5-13500,1200
156.95,Intel,Core i3-13100,1700
766.95,AMD,Ryzen 9 7950X3D,AM4
460.95,Intel,Core i9-12900KF,AM4
94.5,AMD,Ryzen 3 3200G,AM5
162.95,Intel,Core i5-11400,1200
59.95,Intel,,AM4
382.95,AMD,Ryzen 7 7700,AM4
252.95,AMD,Ryzen 5 7600,AM4
134.95,Intel,Core i5-11400F,1700
107.95,AMD,Ryzen 3 4300G,AM4
75.95,Intel,,AM4
253.95,Intel,Core i5-13400,1200
509.95,AMD,Ryzen 9 5950X,1200
356.95,AMD,Ryzen 7 5800X3D,AM4
475.95,AMD,Ryzen 9 7900,1700
84.5,Intel,Core i3-10100F,AM4
84.95,AMD,Ryzen 3 4100,AM4
179.95,AMD,Ryzen 5 5500,1200
308.95,AMD,Ryzen 7 5800X,1200
443.95,Intel,Core i7-13700,1700
252.95,AMD,Ryzen 7 5700X,1200
117.95,AMD,Ryzen 5 3400G,AM4
128.95,Intel,Core i3-10105,1700
126.95,Intel,Core i3-10100,AM4
121.95,AMD,Ryzen 3 3200G,1200
607.95,Intel,Core i9-13900F,1700
188.95,AMD,Ryzen 5 PRO 4650G,1700
224.95,AMD,Ryzen 5 PRO 5650G,AM5
54.95,Intel,,AM5
204.95,Intel,Core i5-10500,AM4
382.95,Intel,Core i7-12700F,1700
86.5,Intel,Core i3-10105F,AM4
206.95,AMD,Ryzen 5 5600,1200
806.95,Intel,Core i9-13900KS,1700
194.95,AMD,Ryzen 5 3400G,1700
132.95,Intel,Core i5-10400,AM4
279.95,Intel,Core i5-12600,AM4
102.95,Intel,,AM5
425.95,AMD,Ryzen 9 PRO 7945,AM5
331.95,AMD,Ryzen 7 PRO 7745,AM5
109.95,AMD,Ryzen 3 3200G,AM5
512.95,Intel,Core i9-12900F,AM5
107.95,AMD,Ryzen 3 4100,AM5
236.95,Intel,Core i5-11600KF,AM5
67.5,Intel,,AM5
641.95,Intel,Core i9-13900,AM5
525.95,AMD,Ryzen 9 3900XT,AM5
220.95,AMD,Ryzen 5 5600X,AM5
229.95,AMD,Ryzen 5 PRO 7645,AM5
