brand,model,memory,price,power_usage,length
AMD,RX 6400,4,151.95,53.0,192.0
AMD,RX 6600,8,194.28,170.0,193.0
AMD,RX 6650 XT,8,255.95,203.0,282.0
AMD,RX 6700 XT,12,334.95,230.0,260.0
AMD,RX 6750 XT,12,372.95,250.0,281.0
AMD,RX 6800 XT,16,522.95,350.0,313.0
AMD,RX 6950 XT,16,627.95,391.0,320.0
AMD,RX 7900 XT,20,759.95,368.0,348.0
AMD,RX 7900 XTX,24,1018.95,370.0,338.0
NVIDIA,GTX 1650,4,173.45,75.0,170.0
NVIDIA,RTX 3050,8,244.95,130.0,282.0
NVIDIA,RTX 3060,12,315.15,170.0,258.0
NVIDIA,RTX 3060,12,315.15,170.0,301.0
NVIDIA,RTX 3060,8,252.95,170.0,258.0
NVIDIA,RTX 3060,8,252.95,170.0,301.0
NVIDIA,RTX 3060 Ti,8,354.45,230.0,323.0
NVIDIA,RTX 4070,12,614.08,220.0,338.0
NVIDIA,RTX 4070 Ti,12,896.95,285.0,356.0
NVIDIA,RTX 4080,16,1168.95,320.0,357.0
NVIDIA,RTX 4090,24,1736.45,480.0,358.5
