price,part number
88.95,CMK32GX4M2E3200C16
54.95,CMK16GX4M2E3200C16
48.5,F4-3200C16D-16GIS
85.5,KF432C16BB1K2/32
136.95,KF556C40BBK2-32
20.95,F3-1600C11S-8GNT
106.95,CMG32GX4M2E3200C16
71.5,CP2K16G4DFRA32A
70.95,CMG16GX4M2E3200C16
44.25,2XTXU8G1M3200C
59.95,KF432C16BBK2/16
119.95,CMW32GX4M2Z3600C18
104.95,CMK32GX4M2D3600C18
34.75,TXU16G2M3200C16X
26.75,CMV8GX4M1A2400C16
43.25,F3-1600C11D-16GIS
120.95,CMK32GX4M2D3600C16
20.75,F4-2400C17S-8GNT
92.5,F4-3200C16D-32GVK
82.5,F4-3000C16D-32GISB
39.75,F4-2666C19S-16GIS
21.95,TXU8G1M3200C16X
72.5,FXU16G2M3200C16X2
95.95,CMK32GX4M2A2666C16
44.95,F4-3000C16D-16GISB
30.95,CMK8GX4M1Z3200C16
200.95,CMK64GX4M2E3200C16
58.95,TXU32G2M3200C16X
85.95,KF552C36BBEK2-16
87.5,F4-3200C16D-32GIS
159.95,CMK32GX5M2A4800C40
122.95,CP2K16G56C46U5
136.95,CMK32GX5M2B6000C30
151.95,CMK32GX5M2E6000C36
54.5,CMK16GX4M2A2133C13
316.95,CMK64GX5M2B5600C40
39.5,F4-2400C17D-16GNT
168.95,CMK32GX5M2B5600C36
73.5,F4-2133C15D-32GIS
12.25,F4-2133C15S-4GNT
13.25,F3-1600C11S-4GNS
46.75,F4-2133C15D-8GNT
84.5,CMK16GX4M2D3600C16
41.25,F4-4400C19D-32GVK
168.95,F4-3200C16D-16GVKB
117.95,F3-1600C9D-16GAR
41.75,F4-3200C16S-16GIS
23.95,CMV8GX4M1A2666C18
58.95,CMW16GX4M2C3200C16
127.95,F4-3600C18D-16GVK
24.75,CT16G4DFRA32A
21.5,CMK16GX4M2E3200C16W
23.5,CMV8GX4M1A2133C15
67.95,CMK16GX4M2A2666C16
124.95,CMH32GX5M2B6400C32
52.95,F3-1600C10D-16GAO
57.95,CMK16GX4M2B3000C15
45.95,F4-2133C15D-16GIS
27.95,F4-2133C15S-8GIS
77.5,F4-3200C16D-32GTZRX
52.95,KF426C16BBK2/16
46.5,F3-1600C11S-8GIS
57.5,F5-6400J3239G16GX2-TZ5S
26.25,F5-6000J3238F16GX2-TZ5RS
55.5,F3-2400C11D-16GAB
246.95,F4-3200C16D-64GVK
50.95,CMK32GX5M2E6200C36
60.95,F5-6400J3239G16GX2-TZ5RK
41.25,KF548C38BBK2-32
21.5,CMK16GX4M2Z3600C18
117.95,CMT32GX5M2B5200C40
59.95,F3-1600C11D-8GNS
21.5,F4-2133C15S-8GNT
203.95,F4-3600C18D-16GTZR
170.95,CMH32GX5M2B5600Z36K
72.5,F3-1333C9D-16GIS
190.95,F4-2400C15D-32GIS
160.95,F4-2400C17S-4GNT
246.95,F4-2400C17D-32GIS
163.95,F4-3200C16D-16GFX
59.95,CMK16GX4M2Z3600C18
209.95,CMW16GX4M2C3200C16-TUF
24.75,CMK16GX4M1Z3600C18
20.95,KF436C16RB1K2/32
79.5,CMK32GX5M2B6400C32W
189.95,F4-2400C17S-8GIS
43.25,TXU8G1M2666C19
82.95,CMK16GX5M2B5200C40
12.5,F3-10600CL9S-4GBNT
73.95,F3-1600C9D-16GXM
52.95,FXU8G1M3200C16X2
104.95,CMH32GX5M2D6000C36W
79.5,F5-7200J3445G16GX2-TZ5RK
53.95,KF560C36BWEAK2-32
109.95,CMH32GX5M2B6600C38
152.95,F3-1600C9Q-32GXM
20.95,F3-1600C11S-4GIS
21.25,CMK16GX4M2D3000C16
86.5,F4-2666C19D-32GIS
13.25,TXU16G2M2666C19
58.95,CMG16GX4M1E3200C16
50.5,F3-10666CL9S-4GBRL
205.95,F3-1600C11S-4GNT
404.95,CML16GX3M2A1600C9
153.95,F3-1333C9S-4GNS
177.95,F3-1333C9D-8GIS
117.95,CMK8GX4M1A2400C14
13.75,F4-2400C15D-16GVR
57.5,CMK16GX4M2D3600C18
76.95,F4-2666C19D-32GVR
32.95,KF556C36BBEK2-16
57.5,CMK32GX4M2D3000C16
15.95,F4-2666C19S-8GIS
13.5,CMK32GX4M1A2666C16
100.95,KF426C16BB/8
13.25,KF432C16BB/16
26.5,KF432C16BBK4/32
28.95,CMG8GX4M1E3200C16
52.95,CT2K8G48C40U5
59.95,KF548C38BBAK2-16
87.5,TXU32G2M480040K2
97.5,CMH32GX5M2B5200C40
97.5,F3-1600C9D-8GAB
22.25,F4-3000C16S-8GISB
95.95,CMK32GX4M1A2666C16
30.75,F4-3600C16D-32GTZNC
46.5,CMH32GX4M4E3200C16
134.95,KF548C38BB-16
36.95,KF552C40BBK2-32
94.5,TXU8G1M480040K2
98.5,CP16G56C46U5T
236.95,F3-2400C11Q-32GAB
177.95,F4-2133C15D-16GRR
37.25,CMK32GX4M2A2400C14
22.5,KF552C40BBAK2-16
23.5,CMH32GX5M2D6000C36
157.95,F5-6000J3636F16GX2-FX5
147.95,CMH32GX5M2B6000Z30K
75.5,CMH64GX5M2B6400C32
166.95,KF560C32RWAK2-32
67.95,CMH64GX5M2B5600C36W
71.95,F4-2400C15D-32GFT
145.95,CMW16GX4M2C3200C16W
46.75,F4-3200C16D-32GFX
95.95,KF432C16BBK2/64
107.95,KF552C40BB-16
203.95,F5-5600J3036D16GX2-RS5K
223.95,F5-6000J3040G32GX2-TZ5N
227.95,CMT32GX5M2B6000Z30K
329.95,F4-2400C15D-16GIS
157.95,CMK16GX4M1A2400C16
245.95,F4-2400C17S-16GIS
81.5,CMK16GX4M2K4000C19
78.5,F4-4000C18D-32GTZR
93.5,KF436C18BBAK2/32
205.95,
80.5,F5-6400J3239G32GX2-TZ5RK
175.95,CMT32GX5M2D6000Z36
518.95,CMT64GX5M2B6600C32
193.95,F3-12800CL9D-8GBXL
46.75,CMW16GX4M2A2666C16
49.25,4XTXU8G1M3200C
38.95,2XTXU16G2M320
105.95,CMH16GX4M2D3600C18W
142.95,F4-4000C18D-32GVK
119.95,F5-6400J3239G16GX2-TZ5K
192.95,
593.95,CMK32GX5M2D6000Z36
246.95,CMK64GX5M2B6000Z30
349.95,DDR3-SDRAM
37.25,KVR16N11/8
74.95,F4-2133C15D-8GVR
86.5,CMK32GX4M2A2400C16
104.95,F4-3200C14D-16GFX
78.5,F4-2666C19D-16GIS
109.95,F4-2666C19S-8GNT
203.95,CMW32GX4M4C3200C16
407.95,F4-4800C20D-32GTZR
180.95,KF426C16BBK2/64
286.95,CMG16GX4M1D3600C18
49.95,KF556C36BBEK2-32
42.75,CMK32GX5M2B5600Z36
30.25,KF552C36BBEAK2-16
95.5,CMH32GX5M2E6000C36
101.95,KF572C38RWAK2-32
44.95,CMK32GX5M2D6000C36W
22.25,CMK16GX4M1A2666C16
155.95,F4-2400C15S-4GIS
254.95,F4-3200C16D-16GTZKW
136.95,F4-3000C16S-16GISB
60.95,F4-4000C15D-16GTZR
173.95,F4-3600C18Q-128GVK
169.95,F4-2666C19D-64GNT
101.95,CMH16GX4M2E3200C16
171.95,CMT32GX4M2E3200C16
238.95,CMK32GX4M2E3200C16W
131.95,CMN32GX4M2Z3200C16
49.95,CMK32GX5M2B5600C36W
14.95,F5-6000J3238F16GX2-FX5
68.95,CMK64GX5M4B6400C32
43.25,F3-1333C9S-4GIS
184.95,F3-1600C11D-8GIS
379.95,KVR16LN11/4
143.95,CMK8GX4M2A2400C16
73.95,F4-2666C19D-16GNT
167.95,F4-3000C16D-16GVRB
97.5,F4-3600C16D-32GVKC
114.95,CMH32GX4M2E3200C16W
168.95,KF432C16BB/8
144.95,CMH32GX4M2K4000C18
424.95,CMK64GX5M4B6400C32
13.75,F5-5600J3636C16GX2-RS5W
26.5,F5-6400J3239G16GX2-RS5K
44.95,KF552C36BBEK2-64
44.95,CMT32GX5M2E6000C36
51.95,KF552C36BWEAK2-32
124.95,CP32G4DFRA32AT
111.95,CMH64GX5M2B6000C30
28.75,F3-10666CL9D-8GBXL
219.95,F4-2133C15D-8GRR
209.95,CMK8GX4M1A2400C16
166.95,F4-3000C16D-32GSXWB
255.95,CMK32GX4M4K4000C19
350.95,CMK32GX4M4D3600C18
286.95,F4-4000C18D-16GVK
