price,brand,memory,model
67.5,Samsung,1024,  980
114.95,Samsung,2048,  970 EVO Plus
37.95,Crucial,500, BX500
62.95,Crucial,1024, BX500
54.95,Crucial,1024, P3
151.95,Samsung,2048,  980 PRO
67.5,Samsung,1024,  870 QVO
51.5,Samsung,500,  870 EVO
134.95,Samsung,2048,  870 EVO
24.5,Kingston,240,  A400
54.95,Kingston,1024,  NV2
67.5,Samsung,1024,  970 EVO Plus
71.5,Samsung,1024,  870 EVO
126.95,Samsung,2048,  870 QVO
96.95,Samsung,1024,  980 PRO
147.95,Corsair,2048, Force MP600 GS
51.5,Samsung,500,  970 EVO Plus
29.95,Crucial,240, BX500
59.5,Crucial,1024, P3 Plus
127.95,Samsung,1024,  990 PRO
51.5,Crucial,500, MX500
52.95,Samsung,500,  980
235.95,Samsung,4096,  870 EVO
185.95,Samsung,2048,  980 PRO
37.95,Kingston,480,  A400
20.75,Kingston,120,  A400
68.5,Corsair,1024, Force MP600 CORE XT
76.5,Crucial,1024, MX500
202.95,Corsair,2048, Force MP600 PRO XT
43.5,Crucial,500, P3
236.95,WD,2048,   Black SN850X
42.75,Kingston,500,  NV2
135.95,Crucial,2048, MX500
100.95,Kingston,1024, FURY Renegade
185.95,Samsung,2048,  990 PRO
29.95,Kingston,250,  NV2
96.95,Kingston,2048,  NV2
472.95,Samsung,8192,  870 QVO
85.95,WD,1024,  Black SN770
105.95,Samsung,1024,  980 PRO
247.95,Crucial,4096, P3 Plus
46.95,Crucial,500, P3 Plus
255.95,Samsung,4096,  870 QVO
16.95,Fox Spirit,240, PM18
42.75,Samsung,250,  870 EVO
84.5,Intel,2048,  670p
219.95,WD,2048,   Black SN850X
118.95,Crucial,2048, BX500
81.5,Samsung,500,  980 PRO
109.95,Crucial,2048, P3
58.95,WD,1024,   Green SN350
15.25,Textorm,240, BM5
51.5,WD,500,   Blue SA510
118.95,Crucial,2048, P3 Plus
118.95,WD,1024,   Black SN850X
68.95,WD,1024,   Blue SN570
93.5,Crucial,1024, P5 Plus
84.5,Corsair,1024, Force MP600 GS
102.95,WD,1024,   Black SN850X
42.5,Textorm,960, BM5
42.75,Samsung,250,  970 EVO Plus
101.95,WD,2048,   Green SN350
93.95,Kingston,1024, KC3000
12.75,Textorm,120, BM5
247.95,Kingston,4096,  NV2
80.5,WD,1024,   Red SA500
64.5,Crucial,500, P5 Plus
42.75,Crucial,250, MX500
38.75,LDLC,480,  F6 PLUS
72.95,Kingston,960,  A400
58.95,Intel,1024,  660p
71.95,WD,1024,   Blue SA510
135.95,Corsair,1024, Force MP600 MINI
47.5,LDLC,480,  F8 PLUS
179.95,WD,2048,    Red SN700
43.25,WD,480,   Green SN350
498.95,WD,4096,   Black SN850X
47.95,Seagate,500,  FireCuda 520
152.95,Crucial,2048, P5 Plus
203.95,Seagate,2048,  FireCuda 530
58.95,Corsair,500, Force MP600 GS
203.95,Crucial,1024, T700
128.95,Corsair,2048, Force MP600 CORE XT
77.5,Kingston,500, FURY Renegade
229.95,Crucial,4096, P3
381.95,Crucial,2048, T700
51.5,WD,500,   Blue SA510
246.95,Seagate,2048,  FireCuda 530 Heatsink
296.95,Corsair,4096, Force MP600 CORE XT
42.95,Kingston,256, KC600
46.25,Samsung,250,  980
124.95,Kingston,1024, KC600
153.95,WD,2048,   Blue
136.95,WD,2048,   Green
162.95,Kingston,2048, KC3000
77.95,Seagate,1024,  FireCuda 520
76.5,Textorm,1920, BM5
117.95,Kingston,1024, KC600
109.95,Corsair,1024, Force MP600 PRO XT
51.5,WD,500,   Blue SN570
442.95,Kingston,4096, FURY Renegade
67.5,Corsair,500, Force MP600 PRO LPX
50.95,,512,Transcend  MTE400S
84.95,,1024,Transcend  MTE400S
58.95,,480,SanDisk  PLUS TLC
179.95,WD,2048,   Red SA500
718.95,Kingston,69632, DC450R 7.
337.95,Seagate,2048,  IronWolf 125
35.5,WD,240,   Green SN350
50.5,Textorm,960, BM20
43.25,WD,250,   Blue SN570
46.95,WD,250,    Red SN700
100.95,Crucial,2048, P3
195.95,Corsair,1024, MP700
296.95,Corsair,2048, MP700
38.25,Textorm,480, BM20
88.95,WD,1024,    Red SA500
67.5,WD,500,    Red SN700
75.5,Kingston,512, KC3000
187.95,Kingston,2048, FURY Renegade
118.95,Kingston,1024, FURY Renegade
