Part Number,Brand,Model,Benchmark
BX8071513900KS,Intel,Core i9-13900KS,131.0
BX8071513900KF,Intel,Core i9-13900KF,129.0
BX8071513900K,Intel,Core i9-13900K,129.0
BX8071513700KF,Intel,Core i7-13700KF,126.0
BX8071513700K,Intel,Core i7-13700K,126.0
BX8071513900F,Intel,Core i9-13900F,124.0
BX8071513900,Intel,Core i9-13900,124.0
BX8071513600KF,Intel,Core i5-13600KF,122.0
BX8071513600K,Intel,Core i5-13600K,122.0
100-100000908WOF,AMD,Ryzen 9 7950X3D,122.0
BX8071513700,Intel,Core i7-13700,121.0
BX8071513700F,Intel,Core i7-13700F,121.0
BX8071512900KS,Intel,Core i9-12900KS,119.0
BX8071512900KF,Intel,Core i9-12900KF,117.0
,Intel,Core i9-13980HX,117.0
BX8071512900K,Intel,Core i9-12900K,117.0
100-100000910WOF,AMD,Ryzen 7 7800X3D,117.0
100-100000909WOF,AMD,Ryzen 9 7900X3D,117.0
,Intel,Core i9-13950HX,116.0
BX8071513600,Intel,Core i5-13600,116.0
,Intel,Core i9-13900HX,115.0
100-100000514WOF,AMD,Ryzen 9 7950X,114.0
BX8071512700K,Intel,Core i7-12700K,114.0
BX8071512700KF,Intel,Core i7-12700KF,114.0
BX8071512900F,Intel,Core i9-12900F,113.0
100-100000589WOF,AMD,Ryzen 9 7900X,113.0
BX8071513500,Intel,Core i5-13500,113.0
100-100000591WOF,AMD,Ryzen 7 7700X,112.0
BX8071512900,Intel,Core i9-12900,111.0
100-100000593WOF,AMD,Ryzen 5 7600X,110.0
BX8071512600K,Intel,Core i5-12600K,109.0
100-100000590BOX,AMD,Ryzen 9 7900,109.0
BX8071512600KF,Intel,Core i5-12600KF,109.0
100-100000592BOX,AMD,Ryzen 7 7700,109.0
BX8071512700F,Intel,Core i7-12700F,109.0
BX8071512700,Intel,Core i7-12700,108.0
,Intel,Core i7-12650HX,107.0
,Intel,Core i9-13900H,107.0
,Intel,Core i9-12950HX,107.0
BX8071513400,Intel,Core i5-13400,106.0
BX8071513400F,Intel,Core i5-13400F,106.0
,Intel,Core i7-13700H,105.0
,Intel,Core i9-12900HX,105.0
100-100000651WOF,AMD,Ryzen 7 5800X3D,104.0
BX8070811900KF,Intel,Core i9-11900KF,104.0
,Intel,Core i7-13620H,104.0
100-000001015BOX,AMD,Ryzen 5 7600,104.0
BX8070811900K,Intel,Core i9-11900K,103.0
BX8071512600,Intel,Core i5-12600,102.0
BX8070811700KF,Intel,Core i7-11700KF,102.0
BX8070811700K,Intel,Core i7-11700K,101.0
,Intel,Core i9-12900HK,100.0
BX8070811900,Intel,Core i9-11900,100.0
100-100000059WOF,AMD,Ryzen 9 5950X,100.0
BX8070110900K,Intel,Core i9-10900K,99.6
BX8070110900KF,Intel,Core i9-10900KF,99.5
,Intel,Core i9-12900H,99.5
BX8070811600K,Intel,Core i5-11600K,99.2
BX8070811600KF,Intel,Core i5-11600KF,99.1
BX8071512500,Intel,Core i5-12500,98.9
BX8070110850K,Intel,Core i9-10850K,98.9
BX80684I99900KS,Intel,Core i9-9900KS,98.8
100-100000061WOF,AMD,Ryzen 9 5900X,98.8
BX8071512400F,Intel,Core i5-12400F,98.3
100-100000063WOF,AMD,Ryzen 7 5800X,98.2
BX8070811700,Intel,Core i7-11700,98.1
BX8071512400,Intel,Core i5-12400,98.1
,Intel,Core i7-12800H,98.0
BX80684I99900K,Intel,Core i9-9900K,97.9
BX80684I99900KF,Intel,Core i9-9900KF,97.8
BX8070811900F,Intel,Core i9-11900F,97.7
,Intel,Core i7-12700H,97.1
BX80684I79700KF,Intel,Core i7-9700KF,97.1
,AMD,Ryzen 9 5900,97.1
BX8070811600,Intel,Core i5-11600,97.0
BX80684I79700K,Intel,Core i7-9700K,96.9
,Intel,Core i5-12600H,96.7
BX8070110700K,Intel,Core i7-10700K,96.5
,AMD,Ryzen 9 7945HX,96.4
BX8070110700KF,Intel,Core i7-10700KF,96.3
BX8071513100F,Intel,Core i3-13100F,96.3
BX8071512300,Intel,Core i3-12300,96.3
100-100000926WOF,AMD,Ryzen 7 5700X,96.2
BX8070811500,Intel,Core i5-11500,96.1
,Intel,Core i5-13500H,96.0
BX8071513100,Intel,Core i3-13100,96.0
,Intel,Core i7-12650H,95.9
100-100000065BOX,AMD,Ryzen 5 5600X,95.9
,AMD,Ryzen 7 5800,95.9
BX8070110900F,Intel,Core i9-10900F,95.4
BX8070811400,Intel,Core i5-11400,94.2
,Intel,Core i5-12500H,94.1
BX8070811400F,Intel,Core i5-11400F,94.1
BX8071512100,Intel,Core i3-12100,94.0
,Intel,Core i9-10900,94.0
BX8071512100F,Intel,Core i3-12100F,94.0
BX80684I59600K,Intel,Core i5-9600K,93.2
BX8070110700F,Intel,Core i7-10700F,93.2
BX80684I59600KF,Intel,Core i5-9600KF,93.2
,Intel,Core i9-11980HK,93.1
100-100000927BOX,AMD,Ryzen 5 5600,92.9
BX8070811700F,Intel,Core i7-11700F,92.8
BX8070110700,Intel,Core i7-10700,92.6
BX80684I59600,Intel,Core i5-9600,92.3
BX8070110600K,Intel,Core i5-10600K,92.2
BX80684I79700,Intel,Core i7-9700,92.0
,Intel,Core i9-11950H,92.0
BX80684I79700F,Intel,Core i7-9700F,92.0
,Intel,Core i7-1360P,91.9
BX8070110600KF,Intel,Core i5-10600KF,91.9
BX80684I99900,Intel,Core i9-9900,91.4
100-100000263BOX,AMD,Ryzen 7 5700G,90.9
,AMD,Ryzen 7 4700G,90.9
BX80684I78086K,Intel,Core i7-8086K,90.8
BX80684I58600K,Intel,Core i5-8600K,90.7
BX8070110600,Intel,Core i5-10600,90.2
,Intel,Core i9-11900H,90.0
,Intel,Core i3-10320,89.6
100-100000051WOF,AMD,Ryzen 9 3950X,89.3
BX80684I39350KF,Intel,Core i3-9350KF,89.3
,Intel,Core i5-12450H,89.1
,Intel,Core i7-11850H,89.0
100-100000277WOF,AMD,Ryzen 9 3900XT,88.7
BX80684I78700K,Intel,Core i7-8700K,88.4
100-100000252BOX,AMD,Ryzen 5 5600G,88.2
BX80684I58600,Intel,Core i5-8600,88.2
100-100000279WOF,AMD,Ryzen 7 3800XT,88.1
,Intel,Core i7-11800H,88.0
100-100000023BOX,AMD,Ryzen 9 3900X,87.9
,Intel,Core i5-1340P,87.7
BX8070110300,Intel,Core i3-10300,87.4
100-100000010WOF,AMD,Ryzen TR 3960X,87.2
BX8069510920X,Intel,Core i9-10920X,87.2
100-100000025BOX,AMD,Ryzen 7 3800X,87.0
BX80677I77740X,Intel,Core i7-7740X,87.0
BX80684I78700,Intel,Core i7-8700,87.0
,Intel,Core i7-1280P,87.0
BX80684I59500,Intel,Core i5-9500,87.0
BX80671I76950X,Intel,Core i7-6950X,86.8
BX80684I59400,Intel,Core i5-9400,86.5
BX80673I99920X,Intel,Core i9-9920X,86.4
