Brand,Model,Benchmark
Nvidia,RTX 4090,370.0
Nvidia,RTX 4080,290.0
AMD,RX 7900-XTX,256.0
Nvidia,RTX 4070-Ti,240.0
Nvidia,RTX 3090-Ti,232.0
AMD,RX 7900-XT,220.0
Nvidia,RTX 3090,210.0
Nvidia,RTX 3080-Ti,204.0
AMD,RX 6950-XT,199.0
AMD,RX 6900-XT,195.0
Nvidia,RTX 4070,190.0
Nvidia,RTX 3080,187.0
AMD,RX 6800-XT,171.0
Nvidia,Titan RTX,168.0
Nvidia,RTX 3070-Ti,158.0
Nvidia,RTX 2080-Ti,156.0
Nvidia,RTX 3070,148.0
AMD,RX 6800,143.0
Nvidia,Titan V,140.0
Nvidia,RTX 2080S (Super),131.0
AMD,RX 6750-XT,129.0
Nvidia,RTX 3060-Ti,128.0
Nvidia,Titan Xp,128.0
Nvidia,RTX 2080,124.0
Nvidia,GTX 1080-Ti,124.0
AMD,RX 6700-XT,122.0
Nvidia,Titan X Pascal,121.0
Nvidia,RTX 2070S (Super),115.0
AMD,RX 6650-XT,110.0
AMD,RX 6700,108.0
AMD,RX 6600-XT,107.0
Nvidia,RTX 2070,104.0
Nvidia,GTX 1080,102.0
AMD,Radeon-VII,101.0
Nvidia,RTX 3060,100.0
Nvidia,RTX 2060S (Super),99.8
AMD,RX 5700-XT,99.0
AMD,RX 5700XT 50th Anniversary,98.2
AMD,Radeon RX 7600S,93.9
AMD,RX Vega-64LC (Liquid Cooled),93.8
Nvidia,GTX 1070-Ti,93.7
AMD,RX 6800M,93.1
Nvidia,RTX 2060,89.8
AMD,RX Vega-64,86.6
AMD,Vega Frontier Edition,86.4
AMD,RX 6600,86.1
AMD,RX 5700,85.0
AMD,RX 5600-XT,83.5
AMD,RX 6700M,82.3
Nvidia,GTX 1070,79.7
Nvidia,GTX 980-Ti,79.0
AMD,RX Vega-56,78.0
AMD,RX 6600M,76.9
Nvidia,GTX 1660-Ti,76.0
Nvidia,GTX Titan X,75.4
Nvidia,RTX 3050,74.8
Nvidia,GTX 1660S (Super),71.4
Nvidia,GTX 1660,68.3
