part number,brand,model,benchmark,memory
WD121KRYZ,WD,Gold,113.0,12288
WD101KRYZ,WD,Gold,107.0,10240
WD6002FRYZ,WD,Gold,101.0,6144
WD8003FRYZ,WD,Gold,100.0,8192
WD6002FFWX,WD,Red Pro,99.8,6144
WD6002FZWX,WD,Black,97.8,6144
0S03839,HGST,Deskstar NAS,94.9,6144
WD8002FRYZ,WD,Gold,94.8,8192
WD1000DHTZ,WD,VelociRaptor,94.6,1024
ST3000NC002,Seagate,Constellation CS,93.9,3072
WD5000BHTZ,WD,"VelociRaptor 2.5""",93.2,500
WD4004FZWX,WD,Black,92.4,4096
ST1000DM010,Seagate,Barracuda,92.3,1024
ST3000DM008,Seagate,Barracuda,92.1,3072
ST2000DM006,Seagate,Barracuda,91.6,2048
WD6001FZWX,WD,Black,91.6,6144
0F23267,HGST,Ultrastar He8 Helium,91.3,8192
0F23668,HGST,Ultrastar He8 Helium,91.3,8192
WD4002FYYZ,WD,Gold,91.1,4096
ST3000VX000,Seagate,Video SV35.6 Series,90.5,3072
ST6000DX000,Seagate,Desktop HDD,90.5,6144
ST6000DM001,Seagate,Desktop HDD,90.3,6144
ST1000VX000,Seagate,Video SV35.6 Series,90.2,1024
WD2500HHTZ,WD,VelociRaptor,90.0,250
ST5000DM002,Seagate,Desktop HDD,89.8,5120
ST4000VN008,Seagate,IronWolf,89.6,4096
WD5000HHTZ,WD,VelociRaptor,89.4,500
ST1000DM003,Seagate,Barracuda 7200.14,89.2,1024
WD100EFAX,WD,Red,89.2,10240
ST2000VX000,Seagate,Video SV35.6 Series,89.0,2048
WD2003FZEX,WD,Black,88.5,2048
ST3000DM001,Seagate,Barracuda 7200.14,88.3,3072
ST2000DM001,Seagate,Barracuda 7200.14,88.2,2048
HDWE150XZSTA,Toshiba,X300,88.2,5120
HDWE150EZSTA,Toshiba,X300,88.2,5120
HDWD120XZSTA,Toshiba,P300,87.9,2048
HDWD120EZSTA,Toshiba,P300,87.9,2048
HDWD120UZSVA,Toshiba,P300,87.9,2048
WD2005FBYZ,WD,Gold,87.8,2048
ST4000VX007,Seagate,SkyHawk,87.2,4096
ST2000DM008,Seagate,Barracuda,86.9,2048
PH3600U-1I72,Toshiba,MD04ACA600,86.8,6144
HDWE160XZSTA,Toshiba,X300,86.8,6144
HDWE160EZSTA,Toshiba,X300,86.8,6144
HDWD130XZSTA,Toshiba,P300,86.6,3072
HDWD130EZSTA,Toshiba,P300,86.6,3072
HDWD130UZSVA,Toshiba,P300,86.6,3072
ST2000NC001,Seagate,Constellation CS,86.3,2048
,Toshiba,DT01ACA200,85.7,2048
0S03835,HGST,Deskstar NAS,85.6,5120
WD80EFAX,WD,Red,85.5,8192
PH3500U-1I72,Toshiba,MD04ACA500,85.4,5120
WD3001FFSX,WD,Red Pro,85.2,3072
WD5001FZWX,WD,Black,84.9,5120
WD1005FBYZ,WD,Gold,84.9,1024
,Toshiba,DT01ACA300,84.7,3072
ST2000DX002,Seagate,FireCuda SSHD,84.5,2048
HUS156045VLS600,Hitachi,UltraStar 15K600,84.5,450
WD40PURZ,WD,Purple Surveillance,84.3,4096
ST2000NM0033,Seagate,Constellation ES.3,84.2,2048
ST3300657SS,Seagate,Cheetah 15K.7 SAS,84.1,300
WD4001FFSX,WD,Red Pro,84.1,4096
HDWD110XZSTA,Toshiba,P300,84.1,1024
HDWD110EZSTA,Toshiba,P300,84.1,1024
HDWD110UZSVA,Toshiba,P300,84.1,1024
,Toshiba,DT01ACA100,84.0,1024
HDWE140XZSTA,Toshiba,X300,84.0,4096
HDWE140EZSTA,Toshiba,X300,84.0,4096
ST1000NM0033,Seagate,Constellation ES.3,83.7,1024
WD10EZEX,WD,Blue,83.4,1024
ST1000DX001,Seagate,Desktop SSHD,83.2,1024
ST2000DX001,Seagate,Desktop SSHD,83.0,2048
STCL2000400,Seagate,Desktop SSHD,83.0,2048
ST3000VX010,Seagate,SkyHawk,82.9,3072
ST4000DM005,Seagate,Barracuda,82.4,4096
WD1003FZEX,WD,Black,82.3,1024
WD3003FZEX,WD,Black,82.0,3072
ST1000DX002,Seagate,FireCuda SSHD,81.8,1024
PH3400U-1I72,Toshiba,MD04ACA400,81.8,4096
ST3000VN007,Seagate,IronWolf,81.7,3072
ST10000DM0004,Seagate,Barracuda Pro,81.7,10240
WD80PURZ,WD,Purple Surveillance,81.5,8192
ST2000VN004,Seagate,IronWolf,81.0,2048
ST500DM009,Seagate,Barracuda,80.9,500
,Hitachi,HDS723030BLE640,80.7,3072
WD60PURZ,WD,Purple Surveillance,80.7,6144
WD1002F9YZ,WD,Se,80.6,1024
PH3300U-1I72,Toshiba,MD04ACA300,80.5,3072
WD4000F9YZ,WD,Se,80.5,4096
WD3000FYYZ,WD,Re,80.4,3072
WD40EZRZ,WD,Blue,80.2,4096
,Hitachi,HDS723020BLE640,80.0,2048
WD4003FZEX,WD,Black,79.5,4096
ST2000VX008,Seagate,SkyHawk,79.4,2048
ST1000VN002,Seagate,IronWolf,78.3,1024
WD4000FYYZ,WD,Re,78.1,4096
ST1000VX005,Seagate,SkyHawk,78.0,1024
HDWD105XZSTA,Toshiba,HDWD105,78.0,500
HDWD105EZSTA,Toshiba,HDWD105,78.0,500
HDWD105UZSVA,Toshiba,HDWD105,78.0,500
,Seagate,ST1500DM003-9YN16G 1.,77.5,5120
WD50EFRX,WD,Red,77.3,5120
WD60EFRX,WD,Red,77.2,6144
WD50EZRX,WD,Green,76.9,5120
WD80EFZX,WD,Red,76.9,8192
WD30PURZ,WD,Purple Surveillance,76.9,3072
ST4000DM000,Seagate,Desktop HDD,76.9,4096
,Seagate,ST4000DM 000-1CD168,76.6,4096
,Seagate,ST2000VM003-1CT164,76.5,2048
WD60EZRZ,WD,Blue,76.3,6144
ST3000VN000,Seagate,NAS HDD,76.3,3072
WD5003AZEX,WD,Black,76.0,500
,WD,WD5000AZLX-00K4KA0,76.0,500
ST2000VN000,Seagate,NAS HDD,75.9,2048
ST4000VN000,Seagate,NAS HDD,75.6,4096
,Toshiba,DT01ACA050,75.1,500
HUS724020ALA640,Hitachi,UltraStar 7K4000,75.1,2048
WD60EZRX,WD,Green,75.1,6144
WD40EFRX,WD,Red,74.9,4096
WD2000F9YZ,WD,Se,74.8,2048
WD3001FAEX,WD,Black,74.8,3072
,Seagate,ST1000VM002-1CT162,74.7,1024
WD4001FAEX,WD,Black,74.1,4096
WD2001FFSX,WD,Red Pro,73.9,2048
WD2000FYYZ,WD,Re,73.7,2048
ST10000VN0004,Seagate,IronWolf,73.4,10240
HUS724030ALE640,Hitachi,UltraStar 7K4000,73.1,3072
ST6000VX0023,Seagate,SkyHawk,73.1,6144
0S03664,HGST,Deskstar NAS,73.0,4096
ST4000DX001,Seagate,Desktop SSHD,72.5,4096
STCL4000400,Seagate,Desktop SSHD,72.5,4096
ST8000VN0022,Seagate,IronWolf,72.3,8192
,Seagate,ST33000650NS,72.0,3072
WD20PURZ,WD,Purple Surveillance,71.9,2048
,Seagate,ST32000645NS,71.8,2048
ST6000DM004,Seagate,Barracuda Pro,71.8,6144
,Hitachi,HDS721010DLE630,71.5,1024
WD40PURX,WD,Purple,71.1,4096
,Hitachi,HDS724040ALE640,70.6,4096
WD30EZRZ,WD,Blue,70.6,3072
ST8000DM004,Seagate,Barracuda,69.3,8192
,Seagate,ST2000NM0011,69.2,2048
,Hitachi,HUA723030ALA640,69.1,3072
HDWA130XZSTA,Toshiba,E300,69.1,3072
HDWA130EZSTA,Toshiba,E300,69.1,3072
,WD,WD1500HLHX-01JJPV0,69.1,150
,Hitachi,HDS5C3030BLE630,69.0,3072
,Toshiba,DT01ABA300,69.0,3072
,Seagate,ST33000651AS,68.8,3072
ST10000VX0004,Seagate,SkyHawk,68.6,10240
WD60EFAX,WD,Red,68.6,6144
,WD,WD6000BLHX-01V7BV0,68.5,600
HDS723030ALA640,Hitachi,Deskstar 7K3000,68.3,3072
WD10PURZ,WD,Purple Surveillance,68.3,1024
HDWA120XZSTA,Toshiba,E300,68.3,2048
HDWA120EZSTA,Toshiba,E300,68.3,2048
WD1503FYYS,WD,Re 1.,68.1,5120
ST8000VX0022,Seagate,SkyHawk,67.6,8192
,Hitachi,HDS72302,67.5,2048
WD10EZRZ,WD,Blue,67.4,1024
WD30EFRX,WD,Red,67.3,3072
ST4000DM004,Seagate,Barracuda,67.3,4096
WD2002FAEX,WD,Black,67.0,2048
WD2003FYYS,WD,Re,66.7,2048
WD10EFRX,WD,Red,66.7,1024
WD20EFRX,WD,Red,66.4,2048
,WD,WD6000HLHX-01JJPV0,66.4,600
,WD,WD20EURX,66.3,2048
,WD,WD4500HLHX-01JJPV0,66.3,450
,WD,WD2001FASS-00U0B0,66.2,2048
WD20PURX,WD,Purple,66.2,2048
WD30PURX,WD,Purple,66.1,3072
WD40EZRX,WD,Green,66.1,4096
,Hitachi,HDS723020BLA642,65.7,2048
,Hitachi,HDS5C3020BLE630,65.4,2048
WD10PURX,WD,Purple,65.4,1024
,Seagate,ST500NM0011,65.0,500
ST3000DM007,Seagate,Barracuda,64.8,3072
WD20EZRZ,WD,Blue,64.8,2048
WD1502FAEX,WD,Black 1.,64.7,5120
,Hitachi,HUA723020ALA640,64.6,2048
,WD,WD10EURX,64.2,1024
,Seagate,Expansion Desk,64.1,4096
,WD,WD45 00HLHX-01JJPV0,64.0,450
WD10EZRX,WD,Green,64.0,1024
,Hitachi,HUA723020ALA641,63.8,2048
,WD,WD1501FASS-00U0B 1.,63.7,5120
