Part Number,Brand,Model,Benchmark,Number of sticks,Capacity of each stick,Total capacity
F4-2400C14Q2-128GRK,G.SKILL,Ripjaws 4 DDR4 2400 C14 8x16GB,121.0,8,16,128
F4-3200C14Q-64GTZ,G.SKILL,Trident Z DDR4 3200 C14 4x16GB,116.0,4,16,64
BLS4K8G4D240FSA,Crucial,Ballistix Sport DDR4 2400 C16 8x4GB,110.0,8,4,32
BLE4K8G4D36BEEAK,Crucial,Ballistix Elite DDR4 3600 C16 4x8GB,108.0,4,8,32
F4-3200C14Q-32GFX,G.SKILL,Flare X DDR4 3200 C14 4x8GB,106.0,4,8,32
F4-3200C15Q-64GTZ,G.SKILL,Trident Z DDR4 3200 C15 4x16GB,103.0,4,16,64
CMD64GX4M4B3000C15,Corsair,Dominator DDR4 3000 C15 4x16GB,99.3,4,16,64
F4-3600C16D-16GTZ,G.SKILL,Trident Z DDR4 3600 C16 2x8GB,97.8,2,8,16
F4-3200C14D-16GFX,G.SKILL,Flare X DDR4 3200 C14 2x8GB,97.8,2,8,16
BLS4K4G4D240FSA,Crucial,Ballistix Sport DDR4 2400 C16 4x4GB,97.4,4,4,16
CMK32GX4M2Z3600C18,Corsair,Vengeance LPX DDR4 3600 C18 2x16GB,96.8,2,16,32
F4-3600C17D-16GTZ,G.SKILL,Trident Z DDR4 3600 C17 2x8GB,96.2,2,8,16
CMK32GX4M4A2666C15,Corsair,Vengeance LPX DDR4 2666 C15 4x8GB,95.5,4,8,32
BLE2K8G4D36BEEAK,Crucial,Ballistix Elite DDR4 3600 C16 2x8GB,95.2,2,8,16
F4-3200C16Q-64GVK,G.SKILL,Ripjaws V DDR4 3200 C16 4x16GB,94.5,4,16,64
HX426C15FBK4/32,HyperX,Fury DDR4 2666 C15 4x8GB,92.4,4,8,32
F4-3000C15Q-16GRR,G.SKILL,Ripjaws 4 DDR4 3000 C15 4x4GB,92.1,4,4,16
F4-3000C15Q-16GRB,G.SKILL,Ripjaws 4 DDR4 3000 C15 4x4GB,92.1,4,4,16
F4-3000C15Q-16GRK,G.SKILL,Ripjaws 4 DDR4 3000 C15 4x4GB,92.1,4,4,16
F4-2800C16Q-16GRR,G.SKILL,Ripjaws 4 DDR4 2800 C16 4x4GB,91.9,4,4,16
F4-2800C16Q-16GRB,G.SKILL,Ripjaws 4 DDR4 2800 C16 4x4GB,91.9,4,4,16
F4-2800C16Q-16GRK,G.SKILL,Ripjaws 4 DDR4 2800 C16 4x4GB,91.9,4,4,16
F4-3600C17D-8GTZ,G.SKILL,Trident Z DDR4 3600 C17 2x4GB,91.4,2,4,8
CMR16GX4M2C3466C16,Corsair,Vengeance RGB DDR4 3466 C16 2x8GB,91.3,2,8,16
CMK16GX4M4B3000C15,Corsair,Vengeance LPX DDR4 3000 C15 4x4GB,90.9,4,4,16
CMK16GX4M4B3000C15B,Corsair,Vengeance LPX DDR4 3000 C15 4x4GB,90.9,4,4,16
CMK16GX4M4B3000C15R,Corsair,Vengeance LPX DDR4 3000 C15 4x4GB,90.9,4,4,16
CMK16GX4M2D3600C18,Corsair,Vengeance LPX DDR4 3600 C18 2x8GB,89.4,2,8,16
CMR16GX4M2C3600C18,Corsair,Vengeance RGB DDR4 3600 C18 2x8GB,89.0,2,8,16
CMW32GX4M2C3200C16,Corsair,Vengeance RGB PRO DDR4 3200 C16 2x16GB,88.5,2,16,32
CMK16GX4M4A2800C16,Corsair,Vengeance LPX DDR4 2800 C16 4x4GB,88.5,4,4,16
CMK16GX4M4A2800C16B,Corsair,Vengeance LPX DDR4 2800 C16 4x4GB,88.5,4,4,16
CMK16GX4M4A2800C16R,Corsair,Vengeance LPX DDR4 2800 C16 4x4GB,88.5,4,4,16
CMK16GX4M4A2666C16,Corsair,Vengeance LPX DDR4 2666 C16 4x4GB,87.9,4,4,16
CMK16GX4M4A2666C16B,Corsair,Vengeance LPX DDR4 2666 C16 4x4GB,87.9,4,4,16
CMK16GX4M4A2666C16R,Corsair,Vengeance LPX DDR4 2666 C16 4x4GB,87.9,4,4,16
CMK32GX4M2B3200C16,Corsair,Vengeance LPX DDR4 3200 C16 2x16GB,87.5,2,16,32
CMK32GX4M4A2400C14,Corsair,Vengeance LPX DDR4 2400 C14 4x8GB,87.1,4,8,32
CMK32GX4M4A2400C14B,Corsair,Vengeance LPX DDR4 2400 C14 4x8GB,87.1,4,8,32
CMK32GX4M4A2400C14R,Corsair,Vengeance LPX DDR4 2400 C14 4x8GB,87.1,4,8,32
CMR32GX4M2C3000C15,Corsair,Vengeance RGB DDR4 3000 C15 2x16GB,87.0,2,16,32
CMK32GX4M2E3200C16,Corsair,Vengeance LPX DDR4 3200 C16 2x16GB,86.2,2,16,32
CMK16GX4M2E3200C16,Corsair,Vengeance LPX DDR4 3200 C16 2x8GB,85.6,2,8,16
F4-3200C16D-16GTZB,G.SKILL,Trident Z DDR4 3200 C16 2x8GB,85.4,2,8,16
CMK32GX4M4A2400C16,Corsair,Vengeance LPX DDR4 2400 C16 4x8GB,85.1,4,8,32
CMK16GX4M2B3200C16,Corsair,Vengeance LPX DDR4 3200 C16 2x8GB,85.1,2,8,16
CMK16GX4M2B3200C16R,Corsair,Vengeance LPX DDR4 3200 C16 2x8GB,85.1,2,8,16
CMR16GX4M2C3200C16,Corsair,Vengeance RGB DDR4 3200 C16 2x8GB,85.0,2,8,16
CMU16GX4M2C3200C16,Corsair,Vengeance LED DDR4 3200 C16 2x8GB,84.8,2,8,16
CMU16GX4M2C3200C16B,Corsair,Vengeance LED DDR4 3200 C16 2x8GB,84.8,2,8,16
CMU16GX4M2C3200C16R,Corsair,Vengeance LED DDR4 3200 C16 2x8GB,84.8,2,8,16
CMK32GX4M4A2666C16,Corsair,Vengeance LPX DDR4 2666 C16 4x8GB,84.7,4,8,32
CMK32GX4M4A2666C16B,Corsair,Vengeance LPX DDR4 2666 C16 4x8GB,84.7,4,8,32
CMK32GX4M4A2666C16R,Corsair,Vengeance LPX DDR4 2666 C16 4x8GB,84.7,4,8,32
CMK32GX4M2B3000C15,Corsair,Vengeance LPX DDR4 3000 C15 2x16GB,84.4,2,16,32
F4-3000C15D-16GTZB,G.SKILL,Trident Z DDR4 3000 C15 2x8GB,84.3,2,8,16
F4-3200C16D-16GTZR,G.SKILL,Trident Z RGB DDR4 3200 C16 2x8GB,84.3,2,8,16
HX426C15FBK2/8,HyperX,Fury DDR4 2666 C15 2x4GB,84.2,2,4,8
F4-3200C16D-16GVKB,G.SKILL,Ripjaws V DDR4 3200 C16 2x8GB,84.0,2,8,16
CMK16GX4M4A2400C14,Corsair,Vengeance LPX DDR4 2400 C14 4x4GB,83.3,4,4,16
CMK16GX4M4A2400C14B,Corsair,Vengeance LPX DDR4 2400 C14 4x4GB,83.3,4,4,16
CMK16GX4M4A2400C14R,Corsair,Vengeance LPX DDR4 2400 C14 4x4GB,83.3,4,4,16
HX426C15FBK2/16,HyperX,Fury DDR4 2666 C15 2x8GB,83.2,2,8,16
CMD16GX4M2B3000C15,Corsair,Dominator DDR4 3000 C15 2x8GB,82.8,2,8,16
CMR16GX4M2C3000C15,Corsair,Vengeance RGB DDR4 3000 C15 2x8GB,82.5,2,8,16
CMU16GX4M2C3000C15,Corsair,Vengeance LED DDR4 3000 C15 2x8GB,82.5,2,8,16
CMU16GX4M2C3000C15B,Corsair,Vengeance LED DDR4 3000 C15 2x8GB,82.5,2,8,16
CMU16GX4M2C3000C15R,Corsair,Vengeance LED DDR4 3000 C15 2x8GB,82.5,2,8,16
HX426C13PB3K2/16,HyperX,Predator 2666 C13 2x8GB,82.5,2,8,16
HX426C16FB2K2/16,HyperX,Fury 2666 C16 2x8GB,82.1,2,8,16
HX426C16FW2K2/16,HyperX,Fury 2666 C16 2x8GB,82.1,2,8,16
HX426C16FR2K2/16,HyperX,Fury 2666 C16 2x8GB,82.1,2,8,16
CMK16GX4M2B3000C15,Corsair,Vengeance LPX DDR4 3000 C15 2x8GB,81.9,2,8,16
CMK16GX4M2B3000C15B,Corsair,Vengeance LPX DDR4 3000 C15 2x8GB,81.9,2,8,16
CMK16GX4M2B3000C15R,Corsair,Vengeance LPX DDR4 3000 C15 2x8GB,81.9,2,8,16
CMK16GX4M2B3000C15W,Corsair,Vengeance LPX DDR4 3000 C15 2x8GB,81.9,2,8,16
HX424C15FBK4/16,HyperX,Fury DDR4 2400 C15 4x4GB,81.8,4,4,16
CMR16GX4M2D3000C16,Corsair,Vengeance RGB DDR4 3000 C16 2x8GB,81.5,2,8,16
CMK8GX4M2B3000C15,Corsair,Vengeance LPX DDR4 3000 C15 2x4GB,81.1,2,4,8
HX421C14FBK4/32,HyperX,Fury DDR4 2133 C14 4x8GB,80.9,4,8,32
CMK16GX4M4A2400C16,Corsair,Vengeance LPX DDR4 2400 C16 4x4GB,80.9,4,4,16
F4-3000C16D-16GTZR,G.SKILL,Trident Z RGB DDR4 3000 C16 2x8GB,80.8,2,8,16
CMW16GX4M2C3000C15,Corsair,Vengeance RGB PRO DDR4 3200 C15 2x8GB,80.5,2,8,16
CMK16GX4M2C3000C16,Corsair,Vengeance LPX DDR4 3000 C16 2x8GB,80.1,2,8,16
CMK16GX4M2C3000C16B,Corsair,Vengeance LPX DDR4 3000 C16 2x8GB,80.1,2,8,16
CMK16GX4M2C3000C16R,Corsair,Vengeance LPX DDR4 3000 C16 2x8GB,80.1,2,8,16
CMK16GX4M2C3000C16W,Corsair,Vengeance LPX DDR4 3000 C16 2x8GB,80.1,2,8,16
BLS4K8G4D240FSB,Crucial,Ballistix Sport LT DDR4 2400 C16 4x8GB,79.5,4,8,32
BLS4K8G4D240FSC,Crucial,Ballistix Sport LT DDR4 2400 C16 4x8GB,79.5,4,8,32
BLS4K8G4D240FSE,Crucial,Ballistix Sport LT DDR4 2400 C16 4x8GB,79.5,4,8,32
HX424C15FBK2/16,HyperX,Fury DDR4 2400 C15 2x8GB,78.5,2,8,16
BLS2K8G4D240FSA,Crucial,Ballistix Sport DDR4 2400 C16 2x8GB,77.0,2,8,16
BLS2K8G4D240FSB,Crucial,Ballistix Sport LT DDR4 2400 C16 2x8GB,76.9,2,8,16
BLS2K8G4D240FSC,Crucial,Ballistix Sport LT DDR4 2400 C16 2x8GB,76.9,2,8,16
BLS2K8G4D240FSE,Crucial,Ballistix Sport LT DDR4 2400 C16 2x8GB,76.9,2,8,16
CMK32GX4M2A2400C16,Corsair,Vengeance LPX DDR4 2400 C16 2x16GB,76.7,2,16,32
CMK16GX4M2A2666C16,Corsair,Vengeance LPX DDR4 2666 C16 2x8GB,76.7,2,8,16
CMK16GX4M2A2666C16R,Corsair,Vengeance LPX DDR4 2666 C16 2x8GB,76.7,2,8,16
CMK8GX4M2A2400C16,Corsair,Vengeance LPX DDR4 2400 C16 2x4GB,76.5,2,4,8
CMK8GX4M2A2666C16,Corsair,Vengeance LPX DDR4 2666 C16 2x4GB,76.3,2,4,8
F4-2400C15Q-32GVR,G.SKILL,Ripjaws V DDR4 2400 C15 4x8GB,76.1,4,8,32
CMK32GX4M2A2666C16,Corsair,Vengeance LPX DDR4 2666 C16 2x16GB,75.8,2,16,32
CMK16GX4M2A2400C16,Corsair,Vengeance LPX DDR4 2400 C16 2x8GB,75.8,2,8,16
CMR16GX4M2A2666C16,Corsair,Vengeance RGB DDR4 2666 C16 2x8GB,75.7,2,8,16
CMU16GX4M2A2666C16,Corsair,Vengeance LED DDR4 2666 C16 2x8GB,74.0,2,8,16
CMU16GX4M2A2666C16B,Corsair,Vengeance LED DDR4 2666 C16 2x8GB,74.0,2,8,16
CMU16GX4M2A2666C16R,Corsair,Vengeance LED DDR4 2666 C16 2x8GB,74.0,2,8,16
HX421C14FBK2/16,HyperX,Fury DDR4 2133 C14 2x8GB,73.2,2,8,16
HX421C14FB2K2/16,HyperX,Fury DDR4 2133 C14 2x8GB,73.2,2,8,16
CMU16GX4M2A2400C16,Corsair,Vengeance LED DDR4 2400 C16 2x8GB,73.1,2,8,16
CMU16GX4M2A2400C16B,Corsair,Vengeance LED DDR4 2400 C16 2x8GB,73.1,2,8,16
CMU16GX4M2A2400C16R,Corsair,Vengeance LED DDR4 2400 C16 2x8GB,73.1,2,8,16
CMK16GX4M2A2400C14,Corsair,Vengeance LPX DDR4 2400 C14 2x8GB,72.6,2,8,16
CMK16GX4M2A2400C14R,Corsair,Vengeance LPX DDR4 2400 C14 2x8GB,72.6,2,8,16
F4-2400C15D-8GVR,G.SKILL,Ripjaws V DDR4 2400 C15 2x4GB,72.1,2,4,8
F4-2400C15D-16GVR,G.SKILL,Ripjaws V DDR4 2400 C15 2x8GB,71.5,2,8,16
F4-2400C15D-16GVB,G.SKILL,Ripjaws V DDR4 2400 C15 2x8GB,71.5,2,8,16
F4-2400C15D-16GVK,G.SKILL,Ripjaws V DDR4 2400 C15 2x8GB,71.5,2,8,16
F4-2400C15D-16GVS,G.SKILL,Ripjaws V DDR4 2400 C15 2x8GB,71.5,2,8,16
F4-2400C15D-16GVG,G.SKILL,Ripjaws V DDR4 2400 C15 2x8GB,71.5,2,8,16
CMK8GX4M2A2400C14,Corsair,Vengeance LPX DDR4 2400 C14 2x4GB,71.1,2,4,8
F4-2133C15D-32GVR,G.SKILL,Ripjaws V DDR4 2133 C15 2x16GB,70.7,2,16,32
F4-2400C15D-16GRR,G.SKILL,Ripjaws 4 DDR4 2400 C15 2x8GB,70.6,2,8,16
HX421C14FBK2/8,HyperX,Fury DDR4 2133 C14 2x4GB,69.5,2,4,8
CMK16GX4M2A2133C13,Corsair,Vengeance LPX DDR4 2133 C13 2x8GB,69.2,2,8,16
CMK16GX4M2A2133C13R,Corsair,Vengeance LPX DDR4 2133 C13 2x8GB,69.2,2,8,16
F4-2133C15D-8GVR,G.SKILL,Ripjaws V DDR4 2133 C15 2x4GB,68.5,2,4,8
BLS2K4G4D240FSA,Crucial,Ballistix Sport DDR4 2400 C16 2x4GB,68.0,2,4,8
F4-2133C15D-16GVB,G.SKILL,Ripjaws V DDR4 2133 C15 2x8GB,67.9,2,8,16
BLS8G4D26BFSB,Crucial,Ballistix Sport LT DDR4 2666 C16 1x8GB,46.7,1,8,8
BLS8G4D26BFSC,Crucial,Ballistix Sport LT DDR4 2666 C16 1x8GB,46.7,1,8,8
BLS8G4D26BFSE,Crucial,Ballistix Sport LT DDR4 2666 C16 1x8GB,46.7,1,8,8
BLS8G4D240FSB,Crucial,Ballistix Sport LT DDR4 2400 C16 1x8GB,43.1,1,8,8
CT8G4DFD824A,Crucial,UDIMM DDR4 2400 C16 1x8GB,41.6,1,8,8
CMK8GX4M1A2400C16,Corsair,Vengeance LPX DDR4 2400 C16 1x8GB,41.6,1,8,8
CMK8GX4M1A2400C16R,Corsair,Vengeance LPX DDR4 2400 C16 1x8GB,41.6,1,8,8
CT16G4DFD824A,Crucial,UDIMM DDR4 2400 C16 1x16GB,41.5,1,16,16
HX421C14FB/8,HyperX,Fury DDR4 2133 C14 1x8GB,40.2,1,8,8
CMK8GX4M1A2400C14,Corsair,Vengeance LPX DDR4 2400 C14 1x8GB,38.7,1,8,8
CT4G4DFS824A,Crucial,UDIMM DDR4 2400 C17 1x4GB,38.7,1,4,4
CMK4GX4M1A2400C14,Corsair,Vengeance LPX DDR4 2400 C14 1x4GB,38.7,1,4,4
F4-2133C15S-4GNT,G.SKILL,Value DDR4 2133 C15 1x4GB,37.6,1,4,4
CMV4GX4M1A2133C15,Corsair,ValueSelect DDR4 2133 C15 1x4GB,37.3,1,4,4
