brand,model,benchmark,memory
WD,Black SN850X,538.0,4096
WD,Black SN850X,515.0,2048
WD,Black SN850,497.0,2048
Samsung,990 Pro,492.0,2048
WD,Black SN850X,466.0,1024
Crucial,P5 Plus,450.0,2048
Intel,900P Optane,440.0,280
Intel,900P Optane,440.0,280
Samsung,990 Pro,433.0,1024
Samsung,980 Pro,432.0,2048
Intel,905P Optane,429.0,960
Intel,900P Optane,429.0,480
Intel,900P Optane,429.0,480
WD,Black SN850,426.0,1024
Crucial,P5 Plus,391.0,1024
Samsung,980 Pro,386.0,1024
WD ,Black SN850,379.0,500
Gigabyte,Aorus,360.0,2048
Sabrent,Rocket 4,359.0,2048
Crucial,P5 Plus,351.0,500
Samsung,970 Evo Plus,342.0,2048
Samsung,970 Evo Plus,342.0,2048
Samsung,980 Pro,341.0,500
Corsair,Force MP600,340.0,2048
Gigabyte,Aorus,339.0,1024
Samsung,970 Pro,327.0,1024
Intel,670p,324.0,2048
Samsung,970 Pro,322.0,512
Sabrent,Rocket 4,317.0,1024
WD,Black SN770,316.0,250
Corsair,Force MP600,314.0,1024
Samsung,970 Evo Plus,310.0,1024
Samsung,970 Evo Plus,310.0,1024
Crucial,P5,302.0,2048
HP,EX950,300.0,2048
Samsung,970 Evo,297.0,1024
Samsung,970 Evo,290.0,2048
Crucial,P5,287.0,1024
HP,EX950,284.0,1024
Samsung,960 Pro,279.0,1024
Adata,XPG SX8200 Pro,279.0,1024
WD,Black SN750,277.0,1024
SanDisk,Extreme Pro,276.0,1024
Samsung,970 Evo Plus,276.0,500
Samsung,970 Evo Plus,276.0,500
Intel,800p,275.0,118
Sabrent,Rocket 4,274.0,500
Samsung,970 Evo,273.0,500
Adata,XPG SX8200 Pro,271.0,2048
Samsung,960 Pro,271.0,2048
Samsung,980 Pro,270.0,250
HP,EX920,267.0,1024
Samsung,960 Pro,266.0,512
WD,Black SN750,263.0,2048
Intel,800p,263.0,58
WD,Black,262.0,1024
Samsung,980,260.0,1024
Intel,670p,259.0,1024
Seagate,FireCuda 510,259.0,2048
Crucial,P5,256.0,500
HP,EX950,255.0,512
WD,Black SN750 SE,247.0,1024
Sabrent,Rocket,247.0,4096
SanDisk,Extreme Pro,244.0,500
Adata,XPG SX8200,244.0,960
WD,Black SN750,244.0,500
Adata,XPG SX8200 Pro,242.0,512
