price,brand,model,socket,benchmark,value
327.95,Intel,Core i5-13600KF,1700,122.0,0.264
237.95,AMD,Ryzen 7 5800X,AM4,98.2,0.314
308.95,AMD,Ryzen 7 5800X,1200,98.2,0.197
161.95,AMD,Ryzen 5 5600X,AM4,95.9,0.536
220.95,AMD,Ryzen 5 5600X,AM5,95.9,0.34
110.95,AMD,Ryzen 5 5500,AM4,86.1,0.764
179.95,AMD,Ryzen 5 5500,1200,86.1,0.395
320.95,Intel,Core i7-12700KF,1700,114.0,0.243
177.95,Intel,Core i5-12400F,1700,98.3,0.487
443.95,Intel,Core i7-13700KF,1700,126.0,0.154
85.95,AMD,Ryzen 5 3600,AM4,83.1,1.0
247.95,Intel,Core i5-12600KF,1700,109.0,0.347
645.95,Intel,Core i9-13900K,1700,129.0,0.05
382.95,AMD,Ryzen 7 7700X,AM5,112.0,0.165
271.95,AMD,Ryzen 5 7600X,AM5,110.0,0.304
476.95,Intel,Core i7-13700K,1700,126.0,0.13
238.95,AMD,Ryzen 7 5700X,AM4,96.2,0.301
252.95,AMD,Ryzen 7 5700X,1200,96.2,0.274
210.95,AMD,Ryzen 7 5700G,AM4,90.9,0.337
156.95,AMD,Ryzen 5 5600,AM4,92.9,0.536
206.95,AMD,Ryzen 5 5600,1200,92.9,0.359
362.95,Intel,Core i7-12700K,1700,114.0,0.192
228.95,Intel,Core i5-13400F,1700,106.0,0.376
358.95,Intel,Core i5-13600K,1700,122.0,0.224
373.95,AMD,Ryzen 9 5900X,AM4,98.8,0.13
500.95,AMD,Ryzen 7 7800X3D,AM5,117.0,0.092
616.95,Intel,Core i9-13900KF,1700,129.0,0.062
153.95,AMD,Ryzen 5 5600G,AM4,88.2,0.512
100.95,Intel,Core i3-12100F,1700,94.0,0.956
204.95,Intel,Core i5-12400,1700,98.1,0.396
281.95,Intel,Core i5-12600K,1700,109.0,0.282
489.95,Intel,Core i9-12900K,1700,117.0,0.099
113.95,AMD,Ryzen 5 4600G,AM4,78.0,0.65
410.95,Intel,Core i7-13700F,1700,121.0,0.168
102.95,Intel,Core i5-10400F,1200,85.2,0.828
143.95,Intel,Core i3-12100,1700,94.0,0.611
339.95,AMD,Ryzen 7 5800X3D,AM4,104.0,0.182
356.95,AMD,Ryzen 7 5800X3D,AM4,104.0,0.164
128.95,Intel,Core i3-13100F,1700,96.3,0.728
145.95,Intel,Core i5-10400,1200,84.5,0.52
132.95,Intel,Core i5-10400,AM4,84.5,0.59
484.95,AMD,Ryzen 9 7900X,AM5,113.0,0.092
96.95,AMD,Ryzen 5 4500,AM4,75.1,0.762
255.95,Intel,Core i5-12500,1700,98.9,0.281
585.95,AMD,Ryzen 9 7900X3D,AM5,117.0,0.05
358.95,Intel,Core i7-12700,1700,108.0,0.176
594.95,AMD,Ryzen 9 7950X,AM5,114.0,0.04
278.95,Intel,Core i5-13500,1200,113.0,0.305
156.95,Intel,Core i3-13100,1700,96.0,0.56
766.95,AMD,Ryzen 9 7950X3D,AM4,122.0,0.0
460.95,Intel,Core i9-12900KF,AM4,117.0,0.117
94.5,AMD,Ryzen 3 3200G,AM5,62.7,0.624
121.95,AMD,Ryzen 3 3200G,1200,62.7,0.44
109.95,AMD,Ryzen 3 3200G,AM5,62.7,0.509
162.95,Intel,Core i5-11400,1200,94.2,0.519
382.95,AMD,Ryzen 7 7700,AM4,109.0,0.155
252.95,AMD,Ryzen 5 7600,AM4,104.0,0.312
134.95,Intel,Core i5-11400F,1700,94.1,0.666
253.95,Intel,Core i5-13400,1200,106.0,0.32
509.95,AMD,Ryzen 9 5950X,1200,100.0,0.046
475.95,AMD,Ryzen 9 7900,1700,109.0,0.087
84.5,Intel,Core i3-10100F,AM4,80.4,0.981
84.95,AMD,Ryzen 3 4100,AM4,72.9,0.865
107.95,AMD,Ryzen 3 4100,AM5,72.9,0.639
443.95,Intel,Core i7-13700,1700,121.0,0.14
117.95,AMD,Ryzen 5 3400G,AM4,68.1,0.518
194.95,AMD,Ryzen 5 3400G,1700,68.1,0.236
126.95,Intel,Core i3-10100,AM4,79.9,0.582
607.95,Intel,Core i9-13900F,1700,124.0,0.056
188.95,AMD,Ryzen 5 PRO 4650G,1700,80.2,0.329
204.95,Intel,Core i5-10500,AM4,84.2,0.312
382.95,Intel,Core i7-12700F,1700,109.0,0.155
86.5,Intel,Core i3-10105F,AM4,82.2,0.98
806.95,Intel,Core i9-13900KS,1700,131.0,0.004
279.95,Intel,Core i5-12600,AM4,102.0,0.254
512.95,Intel,Core i9-12900F,AM5,113.0,0.076
236.95,Intel,Core i5-11600KF,AM5,99.1,0.321
641.95,Intel,Core i9-13900,AM5,124.0,0.042
525.95,AMD,Ryzen 9 3900XT,AM5,88.7,0.012
