brand,model,memory,price,power_usage,length,benchmark,value
AMD,RX 6400,4.0,151.95,53.0,192.0,35.9,0.101
AMD,RX 6600,8.0,194.28,170.0,193.0,86.1,1.0
AMD,RX 6650 XT,8.0,255.95,203.0,282.0,110.0,0.942
AMD,RX 6700 XT,12.0,334.95,230.0,260.0,122.0,0.657
AMD,RX 6750 XT,12.0,372.95,250.0,281.0,129.0,0.577
AMD,RX 6800 XT,16.0,522.95,350.0,313.0,171.0,0.495
AMD,RX 6950 XT,16.0,627.95,391.0,320.0,199.0,0.451
AMD,RX 7900 XT,20.0,759.95,368.0,348.0,220.0,0.332
AMD,RX 7900 XTX,24.0,1018.95,370.0,338.0,256.0,0.166
NVIDIA,GTX 1650,4.0,173.45,75.0,170.0,42.8,0.146
NVIDIA,RTX 3050,8.0,244.95,130.0,282.0,74.8,0.401
NVIDIA,RTX 3060,12.0,315.15,170.0,258.0,100.0,0.453
NVIDIA,RTX 3060,12.0,315.15,170.0,301.0,100.0,0.453
NVIDIA,RTX 3060,8.0,252.95,170.0,258.0,100.0,0.792
NVIDIA,RTX 3060,8.0,252.95,170.0,301.0,100.0,0.792
NVIDIA,RTX 3060 Ti,8.0,354.45,230.0,323.0,128.0,0.643
NVIDIA,RTX 4070,12.0,614.08,220.0,338.0,190.0,0.419
NVIDIA,RTX 4070 Ti,12.0,896.95,285.0,356.0,240.0,0.237
NVIDIA,RTX 4080,16.0,1168.95,320.0,357.0,290.0,0.152
NVIDIA,RTX 4090,24.0,1736.45,480.0,358.5,370.0,0.0
