name,model,format,memory_type,price
Gigabyte Z790 D DDR4,Z790 D DDR4,ATX,DDR4,197
Gigabyte Z690 UD DDR4,Z690 UD DDR4,ATX,DDR4,188
Gigabyte B760 GAMING X AX DDR4,B760 GAMING X AX DDR4,ATX,DDR4,167
Gigabyte B760 AORUS ELITE AX DDR4,B760 A ELITE AX DDR4,ATX,DDR4,196
ASUS TUF GAMING B760-PLUS WIFI D4,90MB1DF0-M0EAY0,ATX,DDR4,190
ASUS TUF GAMING B660-PLUS WIFI D4,90MB1920-M0EAY0,ATX,DDR4,181
ASUS TUF GAMING B550-PLUS WIFI II,90MB19U0-M0EAY0,ATX,DDR4,164
ASUS ROG STRIX B550-F GAMING (WI-FI) II,90MB19V0-M0EAY0,ATX,DDR4,189
ASUS PRIME Z690-P D4,90MB18P0-M0EAY0,ATX,DDR4,193
ASUS PRIME H770-PLUS D4,90MB1CU0-M0EAY0,ATX,DDR4,177
ASRock X570 Pro4,X570 PRO4,ATX,DDR4,172
ASRock X570 Phantom Gaming 4,X570 PHANTOM GAMING 4,ATX,DDR4,169
ASRock H670 PG Riptide,H670 PG RIPTIDE,ATX,DDR4,189
MSI PRO Z690-P DDR4,911-7D36-002,ATX,DDR4,190
MSI PRO B760-P WIFI DDR4,PRO B760-P WIFI DDR4,ATX,DDR4,173
MSI MAG B550 TOMAHAWK,MAG B550 TOMAHAWK,ATX,DDR4,175
Gigabyte B760 GAMING X,B760 GAMING X,ATX,DDR5,164
ASRock B760 PRO RS,B760 PRO RS,ATX,DDR5,188
ASRock B550 PG Riptide,B550 PG RIPTIDE,ATX,DDR4,170
ASRock B550 Extreme4,B550 EXTREME4,ATX,DDR4,172
Gigabyte B550M DS3H,B550M DS3H,Micro ATX, DDR4,98
