name,model,power,power_type,price
ASUS ROG LOKI SFX-L 750W Platinum,90YE00N4-B0NA00,750W,SFX-L,190
Thermaltake TOUGHPOWER GF3 850W,PS-TPD-0850FNFAGE-4,850W,ATX/EPS,188
Thermaltake TOUGHPOWER GF3 750W,PS-TPD-0750FNFAGE-4,750W,ATX/EPS,171
Thermaltake TOUGHPOWER GF3 1000W,PS-TPD-1000FNFAGE-4,1000W,ATX/EPS,218
Seasonic PRIME PX-750,PRIME-PX-750,750W,ATX/EPS,228
Seasonic PRIME PX-650,PRIME-PX-650,650W,ATX/EPS,154
Seasonic PRIME Fanless PX-500,PRIME-PX-500,500W,ATX/EPS,159
Seasonic FOCUS PX 550 Platinum,FOCUS-PX-550,550W,ATX/EPS,180
Seasonic Connect 750 Gold,SSR-750FA,750W,ATX/EPS,180
MSI MPG A850G PCIE5,306-7ZP7B11-CE0,850W,ATX/EPS,170
FSP Hydro G Pro 850W,PPA8501900,850W,ATX/EPS,154
Corsair SF750 80PLUS Platinum,CP-9020186-EU,750W,SFX,172
Corsair RMx Series (2021) RM850x 80PLUS Gold,CP-9020200-EU,850W,ATX/EPS,185
Corsair RMx Series (2021) RM750x 80PLUS Gold,CP-9020199-EU,750W,ATX/EPS,172
Corsair RMx Series (2021) RM1000x 80PLUS Gold,CP-9020201-EU,1000W,ATX/EPS,224
Corsair RM850x SHIFT 80PLUS Gold,CP-9020252-EU,850W,ATX/EPS,196
Corsair RM850e 80PLUS Gold,CP-9020249-EU,850W,ATX/EPS,164
Corsair RM850 80PLUS Gold (2021) - Blanc,CP-9020232-EU,850W,ATX/EPS,163
Corsair RM750x SHIFT 80PLUS Gold,CP-9020251-EU,750W,ATX/EPS,181
Corsair RM750e 80PLUS Gold,CP-9020248-EU,750W,ATX/EPS,153
Corsair RM750 80PLUS Gold (2021) - Blanc,CP-9020231-EU,750W,ATX/EPS,151
Corsair RM1000e 80PLUS Gold (ATX 3.0),CP-9020264-EU,1000W,ATX/EPS,187
Corsair RM1000e 80PLUS Gold,CP-9020250-EU,1000W,ATX/EPS,197
Corsair HX750 80PLUS Platinum,CP-9020137-EU,750W,ATX/EPS,154
Cooler Master V850 Gold i,MPZ-8501-AFAG-BEU,850W,ATX/EPS,190
Cooler Master V750 Gold i,MPZ-7501-AFAG-BEU,750W,ATX/EPS,181
Cooler Master MWE Gold 1250 Full Modular V2 ATX 3.0,MPE-C501-AFCAG-3EU,1250W,ATX/EPS,214
Chieftec Polaris PPS-650FC,PPS-650FC,650W,ATX/EPS,172
Chieftec Polaris PPS-1050FC,PPS-1050FC,1050W,ATX/EPS,216
be quiet! Straight Power 11 1000W 80PLUS Gold,BN285,1000W,ATX/EPS,185
ASUS ROG STRIX 850W Gold Aura Edition,90YE00P2-B0NA00,850W,ATX/EPS,221
ASUS ROG STRIX 750W Gold Aura Edition,90YE00P3-B0NA00,750W,ATX/EPS,207
ASUS ROG STRIX 1000W Gold Aura Edition,90YE00P1-B0NA00,1000W,ATX/EPS,238
ASUS ROG LOKI SFX-L 850W Platinum,90YE00N3-B0NA00,850W,SFX-L,223
be quiet! Pure Power 11 700W 80PLUS Gold,BN295,750W,ATX/EPS,94

