name,model,type,largeur,price
Arctic Liquid Freezer II 240 RGB + Controller,ACFRE00099A,Watercooling,277mm,137
Antec Vortex 360 ARGB,0-761345-74047-0,Watercooling,397mm,111
Aerocool Mirage L240 (Blanc),ACLA-MR24127.71,Watercooling,274mm,111
Aerocool Mirage L240,ACLA-MR24117.71,Watercooling,274mm,112
Xigmatek Neon Aqua 240,EN49578,Watercooling,277mm,137
Xigmatek Liquid Killer X 360,EN47703,Watercooling,394mm,129
Noctua NH-D15 SE-AM4,NOCTUA NH-D15 SE-AM4,Ventirad (actif),150mm,116
Noctua NH-U12A Chromax Black,NH-U12A CHROMAX.BLACK,Ventirad (actif),125mm,137
Noctua NH-U12A + kit de fixation socket Intel LGA 1700,BUN33533,Ventirad (actif),125mm,120
Noctua NH-U12A,NOCTUA NH-U12A,Ventirad (actif),125mm,124
Noctua NH-D15S Chromax .Black,NOCTUA NH-D15S CHROMAX.BLACK,Ventirad (actif),150mm,116
Noctua NH-D15S,NH-D15S,Ventirad (actif),150mm,105
Noctua NH-D15 Chromax Black,NOCTUA NH-D15 CH.BK,Ventirad (actif),150mm,129
Noctua NH-D15 + kit de fixation socket Intel LGA 1700,BUN33530,Ventirad (actif),150mm,116
Noctua NH-D15,NOCTUA NH-D15,Ventirad (actif),150mm,116
Noctua NH-D12L,NH-D12L,Ventirad (actif),125mm,107
MSI MAG CORELIQUID C280,306-7ZW2R21-813,Watercooling,316mm,131
MSI MAG CORELIQUID C240,306-7ZW2R11-813,Watercooling,296mm,124
MSI MAG CORELIQUID 360R V2,306-7ZW1C41-813,Watercooling,394mm,125
MSI MAG CORELIQUID 240R V2 WHITE,306-7ZW1B50-813,Watercooling,274mm,111
MSI MAG CORELIQUID 240R V2,306-7ZW1B41-813,Watercooling,274mm,111
Enermax LIQMAX III ARGB 360 ELC-LMT360-ARGB (Blanc),ELC-LMT360-W-ARGB,Watercooling,394mm,114
Enermax AquaFusion ADV 360 ARGB,ELC-AQFA360-SQA,Watercooling,120mm,121
DeepCool LS720 SE (Noir),R-LS720-BKAMMM-G-1,Watercooling,402mm,120
DeepCool Castle 240EX A-RGB (Blanc),DP-GS-H12W-CSL240EX-AR-WH,Watercooling,282mm,137
DeepCool LT520,R-LT520-BKAMNF-G-1,Watercooling,282mm,137
Cooler Master MasterLiquid ML240 Illusion White Edition,MLX-D24M-A18PW-R1,Watercooling,277mm,111
Cooler Master MasterLiquid PL240 FLUX,MLY-D24M-A23PZ-R1,Watercooling,277mm,140
Cooler Master MasterLiquid ML360 Illusion,MLX-D36M-A18P2-R1,Watercooling,394mm,128
Cooler Master MasterLiquid ML240P Mirage,MLY-D24M-A20PA-R1,Watercooling,277mm,129
Cooler Master MasterLiquid ML240 Illusion,MLX-D24M-A18P2-R1,Watercooling,277mm,107
be quiet! Pure Loop 280 mm,BW007,Watercooling,140mm,106
be quiet! Pure Loop 2 FX 240 mm,BW013,Watercooling,120mm,120
be quiet! Pure Loop 360 mm,BW008,Watercooling,397mm,120
be quiet! Silent Loop 2 280mm,BW011,Watercooling,120mm,137
be quiet! Silent Loop 2 240mm,BW010,Watercooling,120mm,126
be quiet! Pure Loop 2 FX 280 mm,BW014,Watercooling,140mm,128
ASUS TUF GAMING LC 240 ARGB V2,90RC00G1-M0UAY1,Watercooling,272mm,128
ASUS ROG Strix LC II 120 ARGB,90RC00D1-M0UAY0,Watercooling,150mm,129
ASUS ROG Ryuo 240,90RC0040-M0UAY0,Watercooling,270mm,137
Arctic Liquid Freezer II 360,ACFRE00068B,Watercooling,398mm,129
Arctic Liquid Freezer II 240 ARGB,ACFRE00093A,Watercooling,277mm,129
Arctic Liquid Freezer II 240,ACFRE00046B,Watercooling,277mm,107
Arctic Liquid Freezer II 280,ACFRE00066B,Watercooling,317mm,129
