designation,price,description
MSI GeForce RTX 3060 VENTUS 2X 12G OC LHR,278.95,12 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (NVIDIA GeForce RTX 3060)
Gigabyte Radeon RX 6600 EAGLE 8G,186.95,8 Go GDDR6 - Dual HDMI/Dual DisplayPort - PCI Express (AMD Radeon RX 6600)
Gainward GeForce RTX 4070 Ghost,568.95,12 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070)
KFA2 GeForce RTX 3060 Ti (1-Click OC) LHR,292.95,8 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (NVIDIA GeForce RTX 3060 Ti)
ASUS Radeon RX 6750 XT DUAL O12G,372.95,12 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 6750 XT)
MSI GeForce RTX 4060 Ti VENTUS 2X BLACK 8G OC,371.95,8 Go GDDR6 - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060 Ti)
PNY GeForce RTX 4070 12GB VERTO Dual Fan,568.95,12 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070)
Gigabyte GeForce RTX 4070 WINDFORCE OC 12G,615.95,12 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070)
MSI GeForce RTX 4070 GAMING X TRIO 12G,666.95,12 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070)
MSI GeForce RTX 4070 VENTUS 3X 12G OC,608.95,12 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070)
PowerColor Red Dragon AMD Radeon RX 6800 XT 16GB GDDR6,522.95,16 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 6800 XT)
MSI GeForce RTX 3060 Ti VENTUS 2X OC GDDR6X,329.95,8 Go GDDR6X - HDMI/Tri DisplayPort - PCI Express (NVIDIA GeForce RTX 3060 Ti)
ASUS DUAL GeForce RTX 3060 O12G (LHR),312.95,12 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (NVIDIA GeForce RTX 3060)
Sapphire PULSE Radeon RX 6700 XT 12GB,338.95,12 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 6700 XT)
ZOTAC GeForce RTX 4060 Ti Twin Edge,371.95,8 Go GDDR6 - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060 Ti)
