designation,price,description
Seagate BarraCuda 2 To (ST2000DM008),54.95,"Disque dur 3.5"" 2 To 7200 RPM 256 Mo Serial ATA 6 Gb/s (bulk)"
Seagate IronWolf 4 To (ST4000VN006),97.95,"Disque dur 3.5"" 4 To 5400 RPM 256 Mo Serial ATA 6 Gb/s pour NAS (bulk)"
Seagate BarraCuda 4 To (ST4000DM004),83.50,"Disque dur 3.5"" 4 To 5400 RPM 256 Mo Serial ATA 6 Gb/s (bulk)"
Seagate BarraCuda 1 To (ST1000DM010),42.95,"Disque dur 3.5"" 1 To 7200 RPM 64 Mo Serial ATA 6 Gb/s (bulk)"
Western Digital WD Red Plus 4 To,101.95,"Disque Dur 3.5"" 4 To 256 Mo Serial ATA 6Gb/s 5400 RPM - WD40EFPX"
Western Digital WD Blue 2 To,53.95,"Disque dur 3.5"" 2 To 7200 RPM 256 Mo Serial ATA 6Gb/s - WD20EZBX (bulk)"
Western Digital WD Blue Desktop 1 To SATA 6Gb/s 64 Mo,39.50,"Disque dur 3.5"" 1 To 7200 RPM 64 Mo Serial ATA 6Gb/s - WD10EZEX (bulk)"
Seagate BarraCuda 1 To (ST1000LM048),47.25,"Disque dur 2.5"" 7mm 1 To 5400 RPM 128 Mo Serial ATA 6 Gb/s (bulk)"
Western Digital WD Red Plus 6 To,154.95,"Disque Dur 3.5"" 6 To 256 Mo Serial ATA 6Gb/s 5640 RPM - WD60EFPX"
Seagate IronWolf 6 To (ST6000VN001),162.95,"Disque dur 3.5"" 6 To 5400 RPM 256 Mo Serial ATA 6 Gb/s pour NAS (bulk)"
Toshiba X300 4 To (HDWR440EZSTA),102.95,"Disque dur 3.5"" 4 To 7200 RPM 256 Mo Serial ATA 6 Gb/s"
Seagate BarraCuda 8 To (ST8000DM004),171.95,"Disque dur 3.5"" 8 To 5900 RPM 256 Mo Serial ATA 6 Gb/s (bulk)"
Seagate IronWolf 1 To,58.95,"Disque dur 3.5"" 1 To 5900 RPM 64 Mo Serial ATA 6 Gb/s pour NAS (bulk)"
Seagate BarraCuda 2 To (ST2000DM005),53.95,"Disque dur 3.5"" 2 To 5400 RPM 256 Mo Serial ATA 6 Gb/s (bulk)"
Western Digital WD Red Pro 4 To SATA 6Gb/s,141.95,"Disque Dur 3.5"" 4 To 256 Mo Serial ATA 6Gb/s 7200 RPM - WD4003FFBX (bulk)"
