designation,price,description
be quiet! Straight Power 11 750W 80PLUS Gold,124.95,Alimentation modulaire 750W ATX 12V 2.4/EPS 12V 2.92
Cooler Master MWE Bronze 750W V2,68.95,Alimentation 750W ATX 12V v2.52 - 80PLUS Bronze
Cooler Master MWE Bronze 650W V2,62.95,Alimentation 650W ATX 12V v2.52 - 80PLUS Bronze
MSI MPG A850G PCIE5,136.95,Alimentation 100% modulaire 850W ATX12V 3.0 - 80PLUS Gold
be quiet! Pure Power 11 700W 80PLUS Gold,92.50,Alimentation 700W ATX 12V 2.4 - 80PLUS Gold
be quiet! Pure Power 12 M 650W 80PLUS Gold,99.50,Alimentation 100% modulaire 650W ATX12V 3.0 / EPS12V - 80PLUS Gold
be quiet! Pure Power 11 600W 80PLUS Gold,78.95,Alimentation 600W ATX 12V 2.4 - 80PLUS Gold
be quiet! Straight Power 11 850W 80PLUS Platinum,161.95,Alimentation modulaire 850W ATX 12V 2.51/EPS 12V 2.92
be quiet! Straight Power 11 750W 80PLUS Platinum,138.95,Alimentation modulaire 750W ATX 12V 2.51/EPS 12V 2.92
be quiet! Pure Power 11 500W 80PLUS Gold,68.95,Alimentation 500W ATX 12V 2.4 - 80PLUS Gold
be quiet! Straight Power 11 1200W 80PLUS Platinum,216.95,Alimentation modulaire 1200W ATX 12V 2.51/EPS 12V 2.92
Textorm TX350+,40.50,Alimentation 350W ATX 12V Ventilateur 120 mm - 80PLUS Bronze
Corsair CV650 80PLUS Bronze,75.95,Alimentation ATX 650W ATX12V - 80PLUS Bronze
Corsair HX750 80PLUS Platinum,154.95,Alimentation modulaire semi-passive 750W ATX 12V 2.4/EPS 12V - 80PLUS Platinum
be quiet! Pure Power 11 400W 80PLUS Gold,53.95,Alimentation 400W ATX 12V 2.4 - 80PLUS Gold
Aerocool LUX 550W,51.50,Alimentation 550W ATX/EPS 12V - 80PLUS Bronze
Corsair RM850e 80PLUS Gold (ATX 3.0),152.95,Alimentation modulaire ATX 850W ATX12V 3.0 - 80PLUS Gold
Enermax MARBLEBRON 850 Watts - Blanc,88.95,Alimentation semi-modulaire 850W ATX12V v2.4 - 80PLUS Bronze
be quiet! Straight Power 11 850W 80PLUS Gold,145.95,Alimentation modulaire 850W ATX 12V 2.4/EPS 12V 2.92
Textorm TX650M+ V2,63.95,Alimentation semi-modulaire 650W ATX 12V Ventilateur 120 mm - 80PLUS Bronze
Aerocool LUX RGB 750M,85.95,Alimentation semi-modulaire 750W ATX/EPS 12V - 80PLUS Bronze
Corsair RM750e 80PLUS Gold (ATX 3.0),140.95,Alimentation modulaire ATX 750W ATX12V 3.0 - 80PLUS Gold
Aerocool LUX 850W,75.95,Alimentation 850W ATX/EPS 12V - 80PLUS Bronze
be quiet! Straight Power 11 650W 80PLUS Platinum,125.95,Alimentation modulaire 650W ATX 12V 2.51/EPS 12V 2.92
be quiet! Straight Power 11 1000W 80PLUS Gold,185.95,Alimentation modulaire 1000W ATX 12V 2.4/EPS 12V 2.92
MSI MPG A750GF,136.95,Alimentation 100% modulaire 750W ATX 12V - 80PLUS Gold
Corsair RMx Series (2021) RM850x 80PLUS Gold,181.95,Alimentation 100% modulaire 850W ATX 12V / EPS 12V - 80PLUS Gold
MSI MAG A650BN,59.95,Alimentation 650W ATX 12V - 80PLUS Bronze
Corsair RM850 80PLUS Gold (2021) - Blanc,159.95,Alimentation modulaire ATX 850W ATX 12V 2.4 - 80PLUS Gold
Corsair RM1000e 80PLUS Gold (ATX 3.0),187.95,Alimentation modulaire ATX 1000W ATX12V 3.0 - 80PLUS Gold
be quiet! Pure Power 12 M 850W 80PLUS Gold,121.95,Alimentation 100% modulaire 850W ATX12V 3.0 / EPS12V - 80PLUS Gold
Corsair CX550F RGB 80PLUS Bronze (Noir),77.50,Alimentation 100% modulaire 550W ATX 12V/EPS 12V - 80PLUS Bronze
Cooler Master MWE Gold 1050 Full Modular V2,155.95,Alimentation 100% modulaire 1050W ATX 12V v2.52 - 80PLUS Gold
Gigabyte GP-P850GM,110.95,Alimentation 100% modulaire 850W ATX12V v2.31 Ventilateur 120 mm - 80PLUS Gold
be quiet! Pure Power 12 M 750W 80PLUS Gold,108.95,Alimentation 100% modulaire 750W ATX12V 3.0 / EPS12V - 80PLUS Gold
be quiet! Dark Power 13 1000W 80PLUS Titanium,253.95,Alimentation modulaire 1000W ATX 12V 3.0/EPS 12V
Antec NeoECO NE850G M,113.95,Alimentation 100% modulaire 850 Watts ATX12V 2.4 80 PLUS Gold
be quiet! System Power 10 650W 80PLUS Bronze,67.50,Alimentation 650W ATX 12V / EPS 12V
MSI MPG A1000G PCIE5,187.95,Alimentation 100% modulaire 1000W ATX12V 3.0 - 80PLUS Gold
Corsair SF600 80PLUS Platinum,128.95,Alimentation modulaire SFX 600W ATX 12V 2.4 / EPS 2.92 - 80PLUS Platinum
Gigabyte GP-P450B,51.50,Alimentation 450W ATX12V v2.31 Ventilateur 120 mm - 80PLUS Bronze
be quiet! Pure Power 12 M 550W 80PLUS Gold,84.50,Cooler Master V850 SFX GOLD 80PLUS Gold - Alimentation 100% modulaire 850W SFX12V 3.42 - 80PLUS Gold
ASUS TUF Gaming 850W Gold,160.95,be quiet! System Power 10 850W 80PLUS Gold - Alimentation 850W ATX 12V / EPS 12V
Corsair RMx Series (2021) RM750x 80PLUS Gold,168.95,be quiet! System Power 10 750W 80PLUS Bronze - Alimentation 750W ATX 12V / EPS 12V
Cooler Master MWE Gold 1250 Full Modular V2,168.95,Tacens RADIX VII AG 700M - Alimentation modulaire 700W ATX 12V - Ventilateur 140 mm - 80PLUS Silver
Corsair CX550F RGB 80PLUS Bronze (Blanc),77.50,Corsair HX1000i 80PLUS Platinum ATX 3.0 - Alimentation 100% modulaire semi-passive 1000W ATX12V 3.0/EPS12V 2.92 - 80PLUS Platinum
