designation,price,description
Corsair Vengeance LPX Series Low Profile 32 Go (2x 16 Go) DDR4 3200 MHz CL16,96.50,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - CMK32GX4M2E3200C16
Corsair Vengeance LPX Series Low Profile 16 Go (2x 8 Go) DDR4 3200 MHz CL16,56.50,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - CMK16GX4M2E3200C16
G.Skill Aegis 16 Go (2 x 8 Go) DDR4 3200 MHz CL16,48.50,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - F4-3200C16D-16GIS
Kingston FURY Beast 32 Go (2 x 16 Go) DDR5 5600 MHz CL40,136.95,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-44800 - KF556C40BBK2-32
Kingston FURY Beast 32 Go (2 x 16 Go) DDR4 3200 MHz CL16,85.50,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - KF432C16BB1K2/32
Corsair Vengeance LPX Series Low Profile 32 Go (2 x 16 Go) DDR4 3600 MHz CL18,104.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-28800 - CMK32GX4M2D3600C18
Corsair Vengeance RGB RS 32 Go (2 x 16 Go) DDR4 3200 MHz CL16,109.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - CMG32GX4M2E3200C16
G.Skill NT Series 8 Go DDR3 1600 MHz CL11,20.95,RAM DDR3 PC3-12800 - F3-1600C11S-8GNT
G.Skill Aegis 16 Go (1 x 16 Go) DDR4 2666 MHz CL19,39.75,RAM DDR4 PC4-21300 - F4-2666C19S-16GIS
G.Skill Value 8 Go DDR4 2400 MHz CL17,20.75,RAM DDR4 PC4-19200 - F4-2400C17S-8GNT
Kingston FURY Beast 16 Go (2 x 8 Go) DDR4 3200 MHz CL16,59.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - KF432C16BBK2/16
Corsair Vengeance RGB RS 16 Go (2 x 8 Go) DDR4 3200 MHz CL16,70.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - CMG16GX4M2E3200C16
G.Skill RipJaws 5 Series Noir 16 Go (2x 8 Go) DDR4 3600 MHz CL18,52.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-28800 - F4-3600C18D-16GVK
G.Skill Aegis 16 Go (2 x 8 Go) DDR4 3000 MHz CL16,44.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-24000 - F4-3000C16D-16GISB
G.Skill Trident Z RGB 16 Go (2 x 8 Go) DDR4 3600 MHz CL18,79.50,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-28800 - F4-3600C18D-16GTZR avec LED RGB
G.Skill Aegis Series 16 Go (2 x 8 Go) DDR3 1600 MHz CL11,43.25,RAM DDR3 PC3-12800 - F3-1600C11D-16GIS
Corsair Vengeance LPX Series Low Profile 32 Go (2x 16 Go) DDR4 2666 MHz CL16,95.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-21300 - CMK32GX4M2A2666C16
G.Skill Trident Z RGB 32 Go (2x 16 Go) DDR4 3200 MHz CL16,117.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - F4-3200C16D-32GTZRX avec LED RGB
G.Skill Aegis Series 16 Go (2 x 8 Go) DDR3 1333 MHz CL9,43.25,RAM DDR3 PC3-10600 - F3-1333C9D-16GIS
G.Skill Aegis 32 Go (2 x 16 Go) DDR4 3200 MHz CL16,89.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - F4-3200C16D-32GIS
Corsair Vengeance DDR5 32 Go (2 x 16 Go) 4800 MHz CL40 - Noir,159.95,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-38400 - CMK32GX5M2A4800C40
G.Skill RipJaws 5 Series Noir 16 Go (2x 8 Go) DDR4 3200 MHz CL16,52.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - F4-3200C16D-16GVKB
G.Skill RipJaws 5 Series Noir 32 Go (2x 16 Go) DDR4 3200 MHz CL16,94.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - F4-3200C16D-32GVK
G.Skill NT Series 4 Go DDR3 1333 MHz,13.25,G.Skill NT Series 4 Go DDR3-SDRAM PC3-10600 - F3-10600CL9S-4GBNT
G.Skill Aegis 16 Go (1 x 16 Go) DDR4 3200 MHz CL16,45.95,RAM DDR4 PC4-25600 - F4-3200C16S-16GIS
Corsair Vengeance RGB PRO Series 32 Go (2x 16 Go) DDR4 3600 MHz CL18,116.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-28800 - CMW32GX4M2Z3600C18
Fox Spirit Akura RGB 32 Go (2x 16 Go) DDR4 3200 MHz CL16,95.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - FXU16G2M3200C16X2
G.Skill Value 16 Go (2x 8 Go) DDR4 2400 MHz CL17,40.75,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-19200 - F4-2400C17D-16GNT
Corsair Vengeance LPX Series Low Profile 64 Go (2 x 32 Go) DDR4 3200 MHz CL16,200.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - CMK64GX4M2E3200C16
G.Skill RipJaws 5 Series Noir 32 Go (2 x 16 Go) DDR4 4400 MHz CL19,124.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-35200 - F4-4400C19D-32GVK
Crucial DDR4 16 Go 3200 MHz CL22,46.50,RAM DDR4 PC4-25600 - CT16G4DFRA32A
Corsair Vengeance DDR5 32 Go (2 x 16 Go) 6000 MHz CL36 - Noir,151.95,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-48000 - CMK32GX5M2E6000C36
Corsair Vengeance LPX Series Low Profile 16 Go (2x 8 Go) DDR4 3000 MHz CL15,60.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-24000 - CMK16GX4M2B3000C15
Corsair Vengeance Low Profile 16 Go (2 x 8 Go) DDR3 1600 MHz CL9,103.95,Kit Dual Channel 2 barrettes de RAM RAM DDR3 PC12800 - CML16GX3M2A1600C9
G.Skill NT Series 16 Go (2 x 8 Go) DDR3 1600 MHz CL11,41.25,Kit Dual Channel DDR3 PC3-12800 - F3-1600C11D-16GNT
Corsair ValueSelect 8 Go DDR4 2666 MHz CL18,27.95,RAM DDR4 PC4-21300 - CMV8GX4M1A2666C18
Corsair Vengeance LPX Series Low Profile 16 Go (2 x 8 Go) DDR4 3200 MHz CL16,57.50,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - CMK16GX4M2E3200C16W
Kingston FURY Beast 8 Go DDR4 3200 MHz CL16,31.25,RAM DDR4 PC4-25600 - KF432C16BB/8
G.Skill NS Series 4 Go DDR3 1600 MHz CL11,13.25,RAM DDR3 PC3-12800 - F3-1600C11S-4GNS
G.Skill NT Series 4 Go DDR3 1600 MHz CL11,13.50,RAM DDR3 PC3-12800 - F3-1600C11S-4GNT
Corsair Vengeance DDR5 32 Go (2 x 16 Go) 5600 MHz CL36 - Noir,168.95,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-44800 - CMK32GX5M2B5600C36
G.Skill Trident Z5 RGB 64 Go (2 x 32 Go) DDR5 6400 MHz CL32 - Noir,593.95,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-51200 - F5-6400J3239G32GX2-TZ5RK
Corsair Vengeance LPX Series Low Profile 16 Go (2x 8 Go) DDR4 2666 MHz CL16,55.50,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-21300 - CMK16GX4M2A2666C16
G.Skill Aegis 16 Go (1 x 16 Go) DDR4 3000 MHz CL16,43.25,RAM DDR4 PC4-24000 - F4-3000C16S-16GISB
Textorm 8 Go DDR4 3200 MHz CL16,21.95,RAM DDR4 PC4-25600 - TXU8G1M3200C16X
Corsair Vengeance LPX Series Low Profile 16 Go (2 x 8 Go) DDR4 3600 MHz CL16,69.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-28800 - CMK16GX4M2D3600C16
Corsair Vengeance LPX Series Low Profile 32 Go (2 x 16 Go) DDR4 3600 MHz CL16,120.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-28800 - CMK32GX4M2D3600C16
G.Skill Aegis 32 Go (2 x 16 Go) DDR4 2133 MHz CL15,73.50,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-17000 - F4-2133C15D-32GIS
Kingston FURY Beast 16 Go DDR5 4800 MHz CL38,75.50,RAM DDR5 PC5-38400 - KF548C38BB-16
G.Skill Aegis 32 Go (2 x 16 Go) DDR4 2666 MHz CL19,76.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-21300 - F4-2666C19D-32GIS
Corsair Vengeance LPX Series Low Profile 16 Go DDR4 3600 MHz CL18,53.95,RAM DDR4 PC4-28800 - CMK16GX4M1Z3600C18
Corsair Vengeance DDR5 32 Go (2 x 16 Go) 6200 MHz CL36 - Noir,160.95,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-49600 - CMK32GX5M2E6200C36
G.Skill Aegis Series 8 Go (2 x 4 Go) DDR3 1333 MHz CL9,26.50,RAM DDR3 PC3-10600 - F3-1333C9D-8GIS
Kingston FURY Beast 16 Go (2 x 8 Go) DDR5 5200 MHz CL36,85.95,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-41600 - KF552C36BBEK2-16 - Optimisée pour AMD
Corsair ValueSelect 8 Go DDR4 2400 MHz CL16,26.75,RAM DDR4 PC4-19200 - CMV8GX4M1A2400C16
G.Skill Aegis 8 Go (1 x 8 Go) DDR4 3200 MHz CL16,24.75,RAM DDR4 PC4-25600 - F4-3200C16S-8GIS
