designation,price,description
Samsung SSD 980 M.2 PCIe NVMe 1 To,63.95,SSD 1 To M.2 2280- PCIe 3.0 x4
Samsung SSD 970 EVO Plus M.2 PCIe NVMe 2 To,114.95,SSD 2 To M.2 NVMe 1.3 - PCIe 3.0 x4
Crucial BX500 500 Go,37.95,"SSD 500 Go 2.5"" 7mm Serial ATA 6Gb/s"
Crucial BX500 1 To,64.95,"SSD 1 To 2.5"" 7mm Serial ATA 6Gb/s"
Kingston SSD NV2 1 To,54.95,SSD M.2 2280 NVMe PCIe 4.0 4x - 1 To
Samsung SSD 870 EVO 500 Go,51.50,"SSD 500 Go Cache 512 Mo 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Kingston SSD A400 240 Go,24.50,"SSD 240 Go 2.5"" 7mm Serial ATA 6Gb/s"
Samsung SSD 980 PRO M.2 PCIe NVMe 2 To,148.95,SSD 2 To M.2 NVMe 1.3c - PCIe 4.0 x4
Samsung SSD 870 QVO 1 To,67.95,"SSD 1 To Cache 1 Go 2.5"" 6.8 mm QLC Serial ATA 6Gb/s"
Samsung SSD 980 PRO M.2 PCIe NVMe 1 To,106.95,SSD 1 To M.2 NVMe 1.3c - PCIe 4.0 x4
Crucial P3 1 To,59.95,SSD 1 To 3D NAND M.2 2280 NVMe - PCIe 3.0 x4
Samsung SSD 870 QVO 2 To,136.95,"SSD 2 To Cache 2 Go 2.5"" 6.8 mm QLC Serial ATA 6Gb/s"
Western Digital SSD WD Green 1 To,55.50,"SSD 1 To 2.5"" 7mm Serial ATA 6Gb/s"
Samsung SSD 870 EVO 1 To,85.50,"SSD 1 To Cache 1 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Crucial MX500 500 Go,51.50,"SSD 500 Go 2.5"" 7mm Serial ATA 6Gb/s"
Samsung SSD 990 PRO M.2 PCIe NVMe 2 To,193.95,SSD 2 To M.2 2280 NVMe 2.0 - PCIe 4.0 x4
Crucial P3 500 Go,43.50,SSD 500 Go 3D NAND M.2 2280 NVMe - PCIe 3.0 x4
Fox Spirit PM18 M.2 2280 PCIE NVME 240 GB,16.95,SSD 240 Go NAND 3D TLC M.2 2280 PCI-E 3.0 4x NVMe
Samsung SSD 970 EVO Plus M.2 PCIe NVMe 1 To,76.95,SSD 1 To M.2 NVMe 1.3 - PCIe 3.0 x4
Samsung SSD 990 PRO M.2 PCIe NVMe 1 To,127.95,SSD 1 To M.2 2280 NVMe 2.0 - PCIe 4.0 x4
Samsung SSD 970 EVO Plus M.2 PCIe NVMe 500 Go,51.50,SSD 500 Go M.2 NVMe 1.3 - PCIe 3.0 x4
Samsung SSD 870 EVO 2 To,116.95,"SSD 2 To Cache 2 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Kingston SSD NV2 2 To,110.95,SSD M.2 2280 NVMe PCIe 4.0 4x - 2 To
Crucial BX500 240 Go,29.95,"SSD 240 Go 2.5"" 7mm Serial ATA 6Gb/s"
Kingston FURY Renegade 1 To,103.95,SSD 1 To M.2 2280 PCIe 4.0 x4 NVMe NAND 3D TLC
Kingston SSD A400 480 Go,37.95,"SSD 480 Go 2.5"" 7mm Serial ATA 6Gb/s"
Crucial MX500 2 To,144.95,"SSD 2 To 2.5"" 7mm Serial ATA 6Gb/s"
Samsung SSD 980 M.2 PCIe NVMe 500 Go,52.95,SSD 500 Go M.2 2280 - PCIe 3.0 x4
Kingston SSD NV2 500 Go,42.75,SSD M.2 2280 NVMe PCIe 4.0 4x - 500 Go
Corsair Force MP600 CORE XT 1 To,68.50,Disque SSD 1 To NAND 3D QLC M.2 2280 PCI-E 4.0 4x NVMe 1.4
Kingston SSD NV2 250 Go,29.95,SSD M.2 2280 NVMe PCIe 4.0 4x - 250 Go
Samsung SSD 970 EVO Plus M.2 PCIe NVMe 250 Go,42.75,SSD 250 Go M.2 NVMe 1.3 - PCIe 3.0 x4
Samsung SSD 980 PRO M.2 PCIe NVMe 1 To avec dissipateur,111.95,SSD 1 To M.2 NVMe 1.3c - PCIe 4.0 x4
Crucial MX500 1 To,84.95,"SSD 1 To 2.5"" 7mm Serial ATA 6Gb/s"
Samsung SSD 870 QVO 4 To,255.95,"SSD 4 To Cache 4 Go 2.5"" 6.8 mm QLC Serial ATA 6Gb/s"
Crucial BX500 480 Go,42.25,"SSD 480 Go 2.5"" 7mm Serial ATA 6Gb/s"
Crucial P3 Plus 4 To,247.95,SSD 4 To 3D NAND M.2 2280 NVMe - PCIe 4.0 x4
Kingston SSD A400 120 Go,20.75,"SSD 120 Go 2.5"" 7mm Serial ATA 6Gb/s"
Samsung SSD 870 EVO 4 To,243.95,"SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Western Digital SSD WD Green SN350 480 Go,43.25,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Corsair Force MP600 GS 1 To,94.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Samsung SSD 980 PRO M.2 PCIe NVMe 500 Go,81.50,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Samsung SSD 870 QVO 8 To,437.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Western Digital SSD WD Black SN850X 2 To - Avec dissipateur thermique,223.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Crucial P3 Plus 500 Go,46.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Western Digital SSD WD Blue SN570 1 To,68.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Western Digital SSD WD Green SN350 1 To,58.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Crucial P3 Plus 1 To,72.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Crucial P5 Plus 1 To,101.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Western Digital SSD WD Black SN850X 1 To,102.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Crucial BX500 2 To,135.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Samsung SSD 980 PRO M.2 PCIe NVMe 2 To avec dissipateur,175.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Seagate SSD FireCuda 520 2 To (2022),150.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Textorm BM5 SSD 240 Go,15.25,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Western Digital SSD WD_Black SN770 1 To,85.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Crucial P5 Plus 2 To,175.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Intel SSD 670p 2 To,89.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
"Western Digital SSD WD Blue SA510 1 To - 2.5""",71.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Western Digital SSD WD_Black SN770 500 Go,64.50,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
