designation,price,description
Corsair 4000D AIRFLOW Tempered Glass (Noir),92.95,Boîtier Moyen Tour avec panneau en verre trempé et façade avant MESH
Zalman R2 Blanc,49.95,Boîtier Moyen Tour avec fenêtre latérale en verre trempé et ventilateur 120mm RGB
Zalman S5 Noir,64.50,Boîtier Moyen Tour avec fenêtre latérale en verre trempé et éclairage RGB
be quiet! Pure Base 500 (Noir),90.50,Boîtier moyen tour
Fractal Design North Charcoal Black TG Dark,163.95,Boîtier Moyen Tour avec fenêtre en verre trempé et façade en noyer
Aerocool CS-106 (Noir),34.75,Boîtier Mini Tour
NZXT H5 Flow Noir,103.95,Boîtier moyen tour compact avec fenêtre latérale en verre trempé
Zalman T6,38.75,Boîtier Moyen Tour avec 1 ventilateur 120 mm
Corsair iCUE 4000X RGB Tempered Glass (Noir),135.95,Boîtier Moyen Tour avec panneau en verre trempé et ventilateurs LED RGB
Cooler Master MasterBox Q500L,55.95,Boîtier Moyen Tour Noir modulable - panneau latéral transparent
Zalman S2 TG,47.50,Boîtier Moyen Tour Noir avec fenêtre en verre trempé
Lian Li O11 Dynamic EVO (Noir),170.95,Boitier moyen tour en aluminium et verre trempé
Aerocool CS-107-A-BK-V2,38.50,"Boîtier Mini Tour avec façade mesh, panneau latéral en acrylique et 3 ventilateurs ARGB"
be quiet! Silent Base 802 (Noir),166.95,Boîtier grand tour
Aerocool Split,38.75,Boîtier Moyen Tour avec avec fenêtre en acrylique et rétroéclairage RGB en façade
Cooler Master MasterBox Q300L,47.50,Boîtier Mini Tour Noir modulable - panneau latéral transparent
Lian Li O11 Dynamic EVO (Blanc),170.95,Boitier moyen tour en aluminium et verre trempé
Cooler Master MasterBox TD500 Mesh Noir V2,94.95,"Boîtier Moyen Tour avec façade mesh, fenêtre en verre trempé et 3 ventilateurs 120mm ARGB PWM"
Cooler Master Elite 500 ODD Noir,58.95,Boîtier Moyen Tour - Noir
MSI MAG FORGE 100R,84.50,Boîtier Moyen Tour avec panneau latéral en verre trempé et rétroéclairage ARGB
Fractal Design North Charcoal Black,160.95,Boîtier Moyen Tour avec panneau latéral en mesh et façade en noyer
NZXT H9 Flow Blanc,188.95,Boîtier moyen tour avec fenêtre latérale en verre trempé
be quiet! Silent Base 802 Window (Blanc),179.95,Boîtier grand tour avec fenêtre en verre trempé
NZXT H9 Flow Noir,188.95,Boîtier moyen tour avec fenêtre latérale en verre trempé
Phanteks Eclipse G360A (Blanc),84.50,Boîtier moyen tour avec panneau latéral en verre trempée et façade métal ajourée
Fractal Design North Chalk White TG Clear,163.95,Boîtier Moyen Tour avec fenêtre en verre trempé et façade en chêne
Lian Li O11 Air Mini (Noir),118.95,Boitier moyen-tour en aluminium avec panneaux en mesh et verre trempé
MSI MAG FORGE 110R,59.95,Boîtier Moyen Tour gaming avec fenêtre en acrylique et 1 ventilateur ARGB
Aerocool Rift (noir),51.50,Boîtier Moyen Tour avec fenêtre en acrylique et rétroéclairage RGB en façade
Aerocool Prism G V2,94.50,Boîtier Moyen Tour avec fenêtre et façade en verre trempé et ventilateurs FRGB
Antec DF800 FLUX Noir,103.95,Boîtier Moyen Tour avec fenêtre en verre trempé et 3 ventilateurs ARGB
Fractal Design Define XL R2 Black Pearl,168.95,Boîtier Grand Tour Noir/Noir
ASUS ROG Strix Helios - Noir,340.95,Boîtier PC Gaming RGB Moyen Tour avec fenêtre en verre trempé et châssis aluminium
Cooler Master MasterBox TD500 Mesh Blanc V2,94.95,"Boîtier Moyen Tour avec façade mesh, fenêtre en verre trempé et 3 ventilateurs 120mm ARGB PWM"
Antec NX210,58.95,Boîtier Moyen Tour avec fenêtre en verre trempé et 4 ventilateurs 120 mm RGB
Zalman S5 Blanc,64.50,Boîtier Moyen Tour avec fenêtre latérale en verre trempé et éclairage RGB
Antec DF700 FLUX Noir,96.95,Boîtier Moyen Tour ARGB avec fenêtre en verre trempé
NZXT H7 Flow Noir,154.95,Boîtier moyen tour avec fenêtre latérale en verre trempé
Zalman S4 Plus,58.95,Boîtier Moyen Tour avec fenêtre latérale en acrylique et ventilateurs RGB
Fractal Design Core 2300,51.50,Boîtier Moyen Tour Noir
Corsair 5000D Airflow (Noir),169.95,Boîtier Moyen Tour avec panneau en verre trempé et structure ajourée
Lian Li O11 Dynamic Mini (Snow Edition),113.95,Boitier moyen-tour en aluminium et verre trempé
Aerocool Cylon Mini (noir),42.95,Boîtier Mini Tour avec fenêtre latérale et rétroéclairage RGB en façade
Zalman Z10 Plus,101.95,"Boîtier Moyen Tour avec panneau en verre trempé, façade mesh et 4 ventilateurs ARGB"
Antec NSK 4100,68.95,Boîtier Moyen Tour
Antec AX20,47.50,Boîtier Moyen Tour avec fenêtre en verre trempé et 3 ventilateurs 120 mm RGB
