designation,price,description
Intel Core i5-13600KF (3.5 GHz / 5.1 GHz),327.95,Processeur 14-Core (6 Performance-Cores + 8 Efficient-Cores) 20-Threads Socket 1700 Cache L3 24 Mo 0.010 micron (version boîte sans ventilateur - garantie Intel 3 ans)
AMD Ryzen 5 5600X Wraith Stealth (3.7 GHz / 4.6 GHz),182.95,Processeur 6-Core 12-Threads socket AM4 GameCache 35 Mo 7 nm TDP 65W avec système de refroidissement (version boîte - garantie constructeur 3 ans)
AMD Ryzen 7 5800X (3.8 GHz / 4.7 GHz),255.95,Processeur 8-Core 16-Threads socket AM4 GameCache 36 Mo 7 nm TDP 105W (version boîte sans ventilateur - garantie constructeur 3 ans)
AMD Ryzen 5 5500 Wraith Stealth (3.6 GHz / 4.2 GHz),110.95,Processeur 6-Core 12-Threads socket AM4 GameCache 19 Mo 7 nm TDP 65W avec système de refroidissement (version boîte - garantie constructeur 3 ans)
Intel Core i7-12700KF (3.6 GHz / 5.0 GHz),324.95,Processeur 12-Core (8 Performance-Cores + 4 Efficient-Cores) 20-Threads Socket 1700 Cache L3 25 Mo 0.010 micron (version boîte sans ventilateur - garantie Intel 3 ans)
Intel Core i9-13900K (3.0 GHz / 5.8 GHz),645.95,Processeur 24-Core (8 Performance-Cores + 16 Efficient-Cores) 32-Threads Socket 1700 Cache L3 36 Mo Intel UHD Graphics 770 0.010 micron (version boîte sans ventilateur - garantie Intel 3 ans)
Intel Core i7-13700KF (3.4 GHz / 5.4 GHz),443.95,Processeur 16-Core (8 Performance-Cores + 8 Efficient-Cores) 24-Threads Socket 1700 Cache L3 30 Mo 0.010 micron (version boîte sans ventilateur - garantie Intel 3 ans)
Intel Core i5-12400F (2.5 GHz / 4.4 GHz),177.95,Processeur 6-Core (6 Performance-Cores) 12-Threads Socket 1700 Cache L3 18 Mo 0.010 micron (version boîte avec ventilateur - garantie Intel 3 ans)
AMD Ryzen 5 5600 Wraith Stealth (3.5 GHz / 4.4 GHz),162.95,Processeur 6-Core 12-Threads socket AM4 GameCache 35 Mo 7 nm TDP 65W avec système de refroidissement (version boîte - garantie constructeur 3 ans)
AMD Ryzen 5 3600 (3.6 GHz / 4.2 GHz),85.95,Processeur 6-Core 12-Threads socket AM4 GameCache 35 Mo 7 nm TDP 65W (version bulk sans ventilateur - garantie constructeur 3 ans)
AMD Ryzen 7 5700X (3.4 GHz / 4.6 GHz),238.95,Processeur 8-Core 16-Threads socket AM4 GameCache 36 Mo 7 nm TDP 65W (version boîte sans ventilateur - garantie constructeur 3 ans)
AMD Ryzen 7 7800X3D (4.2 GHz / 5.0 GHz),500.95,Processeur 8-Core 16-Threads socket AM5 AMD 3D V-Cache 104 Mo 5 nm TDP 120W (version boîte sans ventilateur - garantie constructeur 3 ans)
AMD Ryzen 9 5900X (3.7 GHz / 4.8 GHz),391.95,Processeur 12-Core 24-Threads socket AM4 GameCache 70 Mo 7 nm TDP 105W (version boîte sans ventilateur - garantie constructeur 3 ans)
Intel Core i5-13400F (2.5 GHz / 4.6 GHz),228.95,Processeur 10-Core (6 Performance-Cores + 4 Efficient-Cores) 16-Threads Socket 1700 Cache L3 20 Mo 0.010 micron (version boîte - garantie Intel 3 ans)
AMD Ryzen 5 5600G Wraith Stealth (3.9 GHz / 4.4 GHz),153.95,Processeur 6-Core 12-Threads socket AM4 Cache L3 16 Mo Radeon Vega Graphics 7 7 nm TDP 65W avec système de refroidissement (version boîte - garantie constructeur 3 ans)
AMD Ryzen 5 7600X (4.7 GHz / 5.3 GHz),271.95,Processeur 6-Core 12-Threads socket AM5 GameCache 38 Mo 5 nm TDP 105W (version boîte sans ventilateur - garantie constructeur 3 ans)
Intel Core i5-12600KF (3.7 GHz / 4.9 GHz),247.95,Processeur 10-Core (6 Performance-Cores + 4 Efficient-Cores) 16-Threads Socket 1700 Cache L3 20 Mo 0.010 micron (version boîte sans ventilateur - garantie Intel 3 ans)
