designation,price,description
ASUS TUF GAMING B550-PLUS,135.95,Carte mère ATX Socket AM4 AMD B550 - 4x DDR4 - SATA 6Gb/s + M.2 - USB 3.1 - PCI-Express 4.0 16x - LAN 2.5 GbE
Gigabyte B550 GAMING X V2,117.95,Carte mère ATX Socket AM4 AMD B550 - 4x DDR4 - SATA 6Gb/s + M.2 - USB 3.1 - PCI-Express 4.0 16x
ASUS PRIME B660-PLUS D4,132.95,Carte mère ATX Socket 1700 Intel B660 Express - 4x DDR4 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 4.0 16x - LAN 2.5 GbE
ASUS TUF GAMING B550-PLUS WIFI II,149.95,Carte mère ATX Socket AM4 AMD B550 - 4x DDR4 - M.2 PCIe 4.0 - USB 3.1 - PCI-Express 4.0 16x - LAN 2.5 GbE + Wi-Fi 6 AX
Gigabyte H510M H,77.50,Carte mère Micro ATX Socket 1200 Intel H510 Express - 2x DDR4 - M.2 PCIe 3.0 - USB 3.0 - PCI-Express 4.0 16x
MSI MPG B550 GAMING PLUS,133.95,Carte mère ATX Socket AM4 AMD B550 - 4x DDR4 - SATA 6Gb/s + M.2 - USB 3.1 - PCI-Express 4.0 16x
Gigabyte B450 AORUS ELITE V2,94.50,Carte mère ATX Socket AM4 AMD B450 - 4x DDR4 - SATA 6Gb/s + M.2 PCIe NVMe - USB 3.0 - 2x PCI-Express 16x
ASUS ROG STRIX B550-F GAMING (WI-FI) II,185.95,Carte mère ATX Socket AM4 AMD B550 - 4x DDR4 - M.2 PCIe 4.0 - USB 3.1 - 2x PCI-Express 16x - LAN 2.5 GbE + Wi-Fi 6E/Blutooth 5.2
ASUS PRIME Z790-A WIFI,307.95,Carte mère ATX Socket 1700 Intel Z790 Express - 4x DDR5 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E/Bluetooth 5.2
ASUS ROG STRIX B760-F GAMING WIFI,245.95,Carte mère ATX Socket 1700 Intel B760 Express - 4x DDR5 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E/Bluetooth 5.3
Gigabyte A520M DS3H,67.95,Carte mère Micro ATX Socket AM4 AMD A520 - 4x DDR4 - SATA 6Gb/s + M.2 - USB 3.0 - PCI-Express 3.0 16x
Gigabyte B550M DS3H,96.95,Carte mère Micro ATX Socket AM4 AMD B550 - 4x DDR4 - SATA 6Gb/s + M.2 - USB 3.1 - PCI-Express 4.0 16x
MSI PRO B660M-A WIFI DDR4,162.95,Carte mère Micro ATX Socket 1700 Intel B660 Express - 4x DDR4 - M.2 PCIe 4.0 - USB 3.1 - PCI-Express 4.0 16x - LAN 2.5 GbE + Wi-Fi 6 AX/Bluetooth 5.2
Gigabyte B660M DS3H AX DDR4,117.95,Carte mère Micro ATX Socket 1700 Intel B660 Express - 4x DDR4 - M.2 PCIe 4.0 - USB 3.1 - LAN 2.5 GbE + Wi-Fi 6 AX - PCI-Express 4.0 16x
ASUS PRIME B550M-K,92.95,Carte mère Micro ATX Socket AM4 AMD B550 - 4x DDR4 - SATA 6Gb/s + M.2 - USB 3.1 - PCI-Express 4.0 16x
MSI MAG Z790 TOMAHAWK WIFI,287.95,Carte mère ATX Socket 1700 Intel Z790 Express - 4x DDR5 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E/Bluetooth 5.2
ASRock A520M-HVS,64.50,Carte mère Micro ATX Socket AM4 AMD A520 - 2x DDR4 - M.2 PCIe NVMe - USB 3.0 - 1x PCI-Express 3.0 16x
Gigabyte B760 GAMING X,160.95,Carte mère ATX Socket 1700 Intel B760 Express - 4x DDR5 - M.2 PCIe 4.0 - USB 3.1 - PCI-Express 4.0 16x - LAN 2.5 GbE
ASUS PRIME A320M-K,65.50,Carte mère Micro ATX Socket AM4 AMD A320 - 2x DDR4 - SATA 6Gb/s + M.2 - 1x PCI-Express 3.0 16x
Gigabyte Z790 AORUS ELITE AX,269.95,Carte mère ATX Socket 1700 Intel Z790 Express - 4x DDR5 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E
ASUS PRIME H670-PLUS D4,156.95,Carte mère ATX Socket 1700 Intel H670 Express - 4x DDR4 - M.2 PCIe 4.0 - USB 3.1 - PCI-Express 4.0 16x - LAN 2.5 GbE
ASUS TUF GAMING B660-PLUS WIFI D4,177.95,Carte mère ATX Socket 1700 Intel B660 Express - 4x DDR4 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 4.0 16x - LAN 2.5 GbE + Wi-Fi 6
MSI MAG B550 TOMAHAWK,166.95,Carte mère ATX Socket AM4 AMD B550 - 4x DDR4 - SATA 6Gb/s + M.2 - USB 3.1 - PCI-Express 4.0 16x - LAN 2.5 GbE
MSI B550M PRO-VDH WIFI,119.95,Carte mère Micro ATX Socket AM4 AMD B550 - 4x DDR4 - SATA 6Gb/s + M.2 - USB 3.1 - PCI-Express 4.0 16x - Wi-Fi 5 AC
Gigabyte B550M AORUS ELITE,111.95,Carte mère Micro ATX Socket AM4 AMD B550 - 4x DDR4 - SATA 6Gb/s + M.2 - USB 3.0 - PCI-Express 4.0 16x
ASUS PRIME Z790-P WIFI,255.95,Carte mère ATX Socket 1700 Intel Z790 Express - 4x DDR5 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6/Bluetooth 5.2
Gigabyte X570S AORUS ELITE AX,221.95,Carte mère ATX Socket AM4 AMD X570 - 4x DDR4 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 4.0 16x - Wi-Fi 6E - LAN 2.5 GbE
Gigabyte B650 AORUS ELITE AX,242.95,Carte mère ATX Socket AM5 AMD B650 - 4x DDR5 - M.2 PCIe 5.0 - USB 3.2 - PCI-Express 4.0 16x - Wi-Fi 6E - LAN 2.5 GbE
ASUS PRIME Z790-P,247.95,Carte mère ATX Socket 1700 Intel Z790 Express - 4x DDR5 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE
ASUS ROG STRIX B550-A GAMING,157.95,Carte mère ATX Socket AM4 AMD B550 - 4x DDR4 - SATA 6Gb/s + M.2 - USB 3.1 - PCI-Express 4.0 16x - LAN 2.5 GbE
MSI Z590-A PRO,154.95,Carte mère ATX Socket 1200 Intel Z590 Express - 4x DDR4 - SATA 6Gb/s + M.2 PCI-E NVMe - USB 3.2 - PCI-Express 4.0 16x - LAN 2.5 GbE
ASUS ROG STRIX X670E-A GAMING WIFI,378.95,Carte mère ATX Socket AM5 AMD X670E - 4x DDR5 - M.2 PCIe 5.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E
ASUS ROG STRIX B650E-F GAMING WIFI,288.95,Carte mère ATX Socket AM5 AMD B650E - 4x DDR5 - M.2 PCIe 5.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E/Bluetooth 5.2
Gigabyte B550 AORUS ELITE V2,134.95,Carte mère ATX Socket AM4 AMD B550 - 4x DDR4 - SATA 6Gb/s + M.2 - USB 3.1 - PCI-Express 4.0 16x - LAN 2.5 GbE
MSI PRO Z790-P WIFI,227.95,Carte mère ATX Socket 1700 Intel Z790 Express - 4x DDR5 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E/Bluetooth 5.2
MSI PRO B650-P WIFI,186.95,Carte mère ATX Socket AM5 AMD B650 - 4x DDR5 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 4.0 16x - LAN 2.5 GbE - Wi-Fi 6E
ASRock B550M-HDV,77.50,Carte mère Micro ATX Socket AM4 AMD B550 - 2x DDR4 - SATA 6Gb/s + M.2 PCI-E NVMe - USB 3.0 - PCI-Express 4.0 16x
ASUS ROG STRIX Z590-F GAMING WIFI,218.95,Carte mère ATX Socket 1200 Intel Z590 Express - 4x DDR4 - SATA 6Gb/s + M.2 PCI-E NVMe - USB 3.2 - PCI-Express 4.0 16x - Wi-Fi 6E + LAN 2.5 GbE
MSI MAG B550 TOMAHAWK MAX WIFI,170.95,Carte mère ATX Socket AM4 AMD B550 - 4x DDR4 - SATA 6Gb/s + M.2 - USB 3.1 - PCI-Express 4.0 16x - LAN 2.5 GbE -Wi-Fi 6E/Bluetooth
MSI B550 GAMING GEN3,137.95,Carte mère ATX Socket AM4 AMD B550 - 4x DDR4 - M.2 PCIe 3.0 - USB 3.1 - PCI-Express 3.0 16x
