Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX8070110100,Intel,Core i3-10100,207,79.9,24563,https://cpu.userbenchmark.com/Intel-Core-i3-10100/Rating/4075
CPU,BX8070110100F,Intel,Core i3-10100F,198,80.4,39812,https://cpu.userbenchmark.com/Intel-Core-i3-10100F/Rating/4082
CPU,BX8070110105F,Intel,Core i3-10105F,176,82.2,14843,https://cpu.userbenchmark.com/SpeedTest/1482345/IntelR-CoreTM-i3-10105F-CPU---370GHz
CPU,BX8070110300,Intel,Core i3-10300,129,87.4,391,https://cpu.userbenchmark.com/Intel-Core-i3-10300/Rating/4074
CPU,BX8071512100,Intel,Core i3-12100,93,94,1002,https://cpu.userbenchmark.com/Intel-Core-i3-12100/Rating/4126
CPU,BX8071512100F,Intel,Core i3-12100F,95,94,5436,https://cpu.userbenchmark.com/Intel-Core-i3-12100F/Rating/4125
CPU,BX8071512300,Intel,Core i3-12300,81,96.3,24,https://cpu.userbenchmark.com/SpeedTest/1796462/12th-Gen-IntelR-CoreTM-i3-12300
CPU,BX8071513100,Intel,Core i3-13100,85,96.1,47,https://cpu.userbenchmark.com/SpeedTest/2011672/13th-Gen-IntelR-CoreTM-i3-13100
CPU,BX8071513100F,Intel,Core i3-13100F,86,96,177,https://cpu.userbenchmark.com/Intel-Core-i3-13100F/Rating/4143
CPU,BX80637I33225,Intel,Core i3-3225,567,58.5,3345,https://cpu.userbenchmark.com/Intel-Core-i3-3225/Rating/1488
CPU,BX80646I34130,Intel,Core i3-4130,693,52.3,49509,https://cpu.userbenchmark.com/Intel-Core-i3-4130/Rating/1621
CPU,BX80646I34150,Intel,Core i3-4150,636,55.2,36627,https://cpu.userbenchmark.com/Intel-Core-i3-4150/Rating/2309
CPU,BX80646I34160,Intel,Core i3-4160,641,55.1,48506,https://cpu.userbenchmark.com/Intel-Core-i3-4160/Rating/2816
CPU,BX80646I34170,Intel,Core i3-4170,604,56.9,48178,https://cpu.userbenchmark.com/SpeedTest/28214/IntelR-CoreTM-i3-4170-CPU---370GHz
CPU,BX80646I34330,Intel,Core i3-4330,514,61.9,6343,https://cpu.userbenchmark.com/Intel-Core-i3-4330/Rating/2876
CPU,BX80646I34340,Intel,Core i3-4340,470,64.5,866,https://cpu.userbenchmark.com/Intel-Core-i3-4340/Rating/2877
CPU,BX80646I34350,Intel,Core i3-4350,445,65.9,512,https://cpu.userbenchmark.com/Intel-Core-i3-4350/Rating/2433
CPU,BX80646I34360,Intel,Core i3-4360,467,64.7,1789,https://cpu.userbenchmark.com/Intel-Core-i3-4360/Rating/2819
CPU,BX80646I34370,Intel,Core i3-4370,448,65.8,1504,https://cpu.userbenchmark.com/Intel-Core-i3-4370/Rating/2817
CPU,BX80662I36100,Intel,Core i3-6100,635,55.4,110166,https://cpu.userbenchmark.com/Intel-Core-i3-6100/Rating/3511
CPU,BX80662I36100T,Intel,Core i3-6100T,586,57.6,6076,https://cpu.userbenchmark.com/SpeedTest/40317/IntelR-CoreTM-i3-6100T-CPU---320GHz
CPU,BX80662I36300,Intel,Core i3-6300,427,66.7,3672,https://cpu.userbenchmark.com/Intel-Core-i3-6300/Rating/3536
CPU,BX80662I36300T,Intel,Core i3-6300T,455,65.2,152,https://cpu.userbenchmark.com/SpeedTest/75733/IntelR-CoreTM-i3-6300T-CPU---330GHz
CPU,BX80662I36320,Intel,Core i3-6320,375,69.4,1734,https://cpu.userbenchmark.com/Intel-Core-i3-6320/Rating/3535
CPU,BX80677I37100,Intel,Core i3-7100,601,57,79299,https://cpu.userbenchmark.com/Intel-Core-i3-7100/Rating/3891
CPU,BX80677I37100T,Intel,Core i3-7100T,535,60.5,2911,https://cpu.userbenchmark.com/SpeedTest/230301/IntelR-CoreTM-i3-7100T-CPU---340GHz
CPU,BX80677I37300,Intel,Core i3-7300,363,70,1568,https://cpu.userbenchmark.com/Intel-Core-i3-7300/Rating/3893
CPU,BX80677I37300T,Intel,Core i3-7300T,424,66.8,75,https://cpu.userbenchmark.com/SpeedTest/230231/IntelR-CoreTM-i3-7300T-CPU---350GHz
CPU,BX80677I37320,Intel,Core i3-7320,295,73.2,423,https://cpu.userbenchmark.com/Intel-Core-i3-7320/Rating/3888
CPU,BX80677I37350K,Intel,Core i3-7350K,329,71.5,4002,https://cpu.userbenchmark.com/Intel-Core-i3-7350K/Rating/3889
CPU,BX80684I38100,Intel,Core i3-8100,350,70.6,81392,https://cpu.userbenchmark.com/Intel-Core-i3-8100/Rating/3942
CPU,CM8068403377415,Intel,Core i3-8100T,341,71.1,2145,https://cpu.userbenchmark.com/SpeedTest/509371/IntelR-CoreTM-i3-8100T-CPU---310GHz
CPU,FH8068403419422,Intel,Core i3-8109U,462,65,2079,https://cpu.userbenchmark.com/SpeedTest/609620/IntelR-CoreTM-i3-8109U-CPU---300GHz
CPU,FJ8067703282227,Intel,Core i3-8130U,827,47.6,25471,https://cpu.userbenchmark.com/SpeedTest/468020/IntelR-CoreTM-i3-8130U-CPU---220GHz
CPU,BX80684I38300,Intel,Core i3-8300,206,79.9,2273,https://cpu.userbenchmark.com/SpeedTest/484077/IntelR-CoreTM-i3-8300-CPU---370GHz
CPU,BX80684I38350K,Intel,Core i3-8350K,184,81.7,23493,https://cpu.userbenchmark.com/Intel-Core-i3-8350K/Rating/3935
CPU,BX80684I39100,Intel,Core i3-9100,210,79.7,7621,https://cpu.userbenchmark.com/SpeedTest/806339/IntelR-CoreTM-i3-9100-CPU---360GHz
CPU,BX80684I39100F,Intel,Core i3-9100F,203,80.1,34310,https://cpu.userbenchmark.com/Intel-Core-i3-9100F/Rating/4054
CPU,BX80684I39350KF,Intel,Core i3-9350KF,118,89.3,1442,https://cpu.userbenchmark.com/Intel-Core-i3-9350KF/Rating/4055
CPU,BX8070110400,Intel,Core i5-10400,159,84.5,71804,https://cpu.userbenchmark.com/Intel-Core-i5-10400/Rating/4073
CPU,BX8070110400F,Intel,Core i5-10400F,151,85.2,153026,https://cpu.userbenchmark.com/Intel-Core-i5-10400F/Rating/4079
CPU,BX8070110500,Intel,Core i5-10500,161,84.2,10180,https://cpu.userbenchmark.com/Intel-Core-i5-10500/Rating/4078
CPU,BX8070110600,Intel,Core i5-10600,114,90.2,7605,https://cpu.userbenchmark.com/Intel-Core-i5-10600/Rating/4069
CPU,BX8070110600K,Intel,Core i5-10600K,104,92.2,70951,https://cpu.userbenchmark.com/Intel-Core-i5-10600K/Rating/4072
CPU,BX8070110600KF,Intel,Core i5-10600KF,108,91.9,24257,https://cpu.userbenchmark.com/SpeedTest/1225152/IntelR-CoreTM-i5-10600KF-CPU---410GHz
CPU,BX8070811400,Intel,Core i5-11400,91,94.2,24459,https://cpu.userbenchmark.com/Intel-Core-i5-11400/Rating/4112
CPU,BX8070811400F,Intel,Core i5-11400F,92,94.1,38461,https://cpu.userbenchmark.com/Intel-Core-i5-11400F/Rating/4111
CPU,BX8070811500,Intel,Core i5-11500,83,96.1,2701,https://cpu.userbenchmark.com/SpeedTest/1496869/11th-Gen-IntelR-CoreTM-i5-11500---270GHz
CPU,BX8070811600,Intel,Core i5-11600,77,97,2296,https://cpu.userbenchmark.com/SpeedTest/1543284/11th-Gen-IntelR-CoreTM-i5-11600---280GHz
CPU,BX8070811600K,Intel,Core i5-11600K,58,99.2,30311,https://cpu.userbenchmark.com/Intel-Core-i5-11600K/Rating/4113
CPU,BX8070811600KF,Intel,Core i5-11600KF,59,99.1,9286,https://cpu.userbenchmark.com/SpeedTest/1512279/11th-Gen-IntelR-CoreTM-i5-11600KF---390GHz
CPU,BX8071512400,Intel,Core i5-12400,67,98.1,12131,https://cpu.userbenchmark.com/Intel-Core-i5-12400/Rating/4122
CPU,BX8071512400F,Intel,Core i5-12400F,64,98.3,31360,https://cpu.userbenchmark.com/Intel-Core-i5-12400F/Rating/4121
CPU,BX8071512500,Intel,Core i5-12500,61,98.9,2718,https://cpu.userbenchmark.com/Intel-Core-i5-12500/Rating/4123
CPU,BX8071512600,Intel,Core i5-12600,52,102,2397,https://cpu.userbenchmark.com/SpeedTest/1751978/12th-Gen-IntelR-CoreTM-i5-12600
CPU,BX8071512600K,Intel,Core i5-12600K,31,109,57538,https://cpu.userbenchmark.com/Intel-Core-i5-12600K/Rating/4120
CPU,BX8071512600KF,Intel,Core i5-12600KF,32,109,17383,https://cpu.userbenchmark.com/SpeedTest/1700734/12th-Gen-IntelR-CoreTM-i5-12600KF
CPU,BX8071513400,Intel,Core i5-13400,41,106,181,https://cpu.userbenchmark.com/SpeedTest/1990711/13th-Gen-IntelR-CoreTM-i5-13400
CPU,BX8071513400F,Intel,Core i5-13400F,42,106,998,https://cpu.userbenchmark.com/Intel-Core-i5-13400F/Rating/4144
CPU,BX8071513500,Intel,Core i5-13500,27,113,715,https://cpu.userbenchmark.com/Intel-Core-i5-13500/Rating/4147
CPU,BX8071513600,Intel,Core i5-13600,19,116,44,https://cpu.userbenchmark.com/SpeedTest/2013466/13th-Gen-IntelR-CoreTM-i5-13600
CPU,BX8071513600K,Intel,Core i5-13600K,10,122,14460,https://cpu.userbenchmark.com/Intel-Core-i5-13600K/Rating/4134
CPU,BX8071513600KF,Intel,Core i5-13600KF,9,122,12008,https://cpu.userbenchmark.com/SpeedTest/1950757/13th-Gen-IntelR-CoreTM-i5-13600KF
CPU,BX80623I52400,Intel,Core i5-2400,534,60.6,166255,https://cpu.userbenchmark.com/Intel-Core-i5-2400/Rating/803
CPU,BX80623I52500K,Intel,Core i5-2500K,446,65.9,143007,https://cpu.userbenchmark.com/Intel-Core-i5-2500K/Rating/619
CPU,AW8063801032301,Intel,Core i5-3210M,821,47.8,79744,https://cpu.userbenchmark.com/Intel-Core-i5-3210M/Rating/2719
CPU,AW8063801208001,Intel,Core i5-3230M,798,48.7,61311,https://cpu.userbenchmark.com/Intel-Core-i5-3230M/Rating/2772
CPU,BX80637I53450S,Intel,Core i5-3450S,386,68.9,1491,https://cpu.userbenchmark.com/SpeedTest/2071/IntelR-CoreTM-i5-3450S-CPU---280GHz
CPU,BX80637I53470,Intel,Core i5-3470,491,63.1,223595,https://cpu.userbenchmark.com/Intel-Core-i5-3470/Rating/2771
CPU,BX80637I53570K,Intel,Core i5-3570K,412,67.6,185516,https://cpu.userbenchmark.com/Intel-Core-i5-3570K/Rating/1316
CPU,BX80646I54440,Intel,Core i5-4440,521,61.3,81111,https://cpu.userbenchmark.com/Intel-Core-i5-4440/Rating/1993
CPU,BX80646I54460,Intel,Core i5-4460,506,62.1,245403,https://cpu.userbenchmark.com/Intel-Core-i5-4460/Rating/2310
CPU,BX80646I54570,Intel,Core i5-4570,503,62.4,129272,https://cpu.userbenchmark.com/Intel-Core-i5-4570/Rating/2770
CPU,BX80646I54590,Intel,Core i5-4590,487,63.5,151366,https://cpu.userbenchmark.com/Intel-Core-i5-4590/Rating/2604
CPU,BX80646I54670K,Intel,Core i5-4670K,405,68,128482,https://cpu.userbenchmark.com/Intel-Core-i5-4670K/Rating/1538
CPU,BX80646I54690,Intel,Core i5-4690,420,67.1,73695,https://cpu.userbenchmark.com/Intel-Core-i5-4690/Rating/2311
CPU,BX80646I54690K,Intel,Core i5-4690K,371,69.6,229359,https://cpu.userbenchmark.com/Intel-Core-i5-4690K/Rating/2432
CPU,BX80658i55675C,Intel,Core i5-5675C,187,81.5,945,https://cpu.userbenchmark.com/SpeedTest/31828/IntelR-CoreTM-i5-5675C-CPU---310GHz
CPU,BX80662I56400,Intel,Core i5-6400,528,60.8,171457,https://cpu.userbenchmark.com/Intel-Core-i5-6400/Rating/3512
CPU,BX80662I56500,Intel,Core i5-6500,484,63.6,241476,https://cpu.userbenchmark.com/Intel-Core-i5-6500/Rating/3513
CPU,BX80662I56600,Intel,Core i5-6600,413,67.6,80688,https://cpu.userbenchmark.com/Intel-Core-i5-6600/Rating/3514
CPU,BX80662I56600K,Intel,Core i5-6600K,317,72.4,342244,https://cpu.userbenchmark.com/Intel-Core-i5-6600K/Rating/3503
CPU,BX80677I57400,Intel,Core i5-7400,485,63.5,234266,https://cpu.userbenchmark.com/Intel-Core-i5-7400/Rating/3886
CPU,BX80677I57400T,Intel,Core i5-7400T,453,65.3,4070,https://cpu.userbenchmark.com/SpeedTest/244917/IntelR-CoreTM-i5-7400T-CPU---240GHz
CPU,BX80605I5750,Intel,Core i5-750,520,61.5,43796,https://cpu.userbenchmark.com/Intel-Core-i5-750/Rating/2773
CPU,BX80677I57500,Intel,Core i5-7500,425,66.8,149467,https://cpu.userbenchmark.com/Intel-Core-i5-7500/Rating/3648
CPU,BX80677I57500T,Intel,Core i5-7500T,431,66.3,5419,https://cpu.userbenchmark.com/SpeedTest/218898/IntelR-CoreTM-i5-7500T-CPU---270GHz
CPU,BX80677I57600,Intel,Core i5-7600,321,72,39689,https://cpu.userbenchmark.com/Intel-Core-i5-7600/Rating/3890
CPU,BX80677I57600K,Intel,Core i5-7600K,262,75.8,195006,https://cpu.userbenchmark.com/Intel-Core-i5-7600K/Rating/3885
CPU,BX80677I57600T,Intel,Core i5-7600T,270,75.1,477,https://cpu.userbenchmark.com/SpeedTest/246226/IntelR-CoreTM-i5-7600T-CPU---280GHz
CPU,BX80677I57640X,Intel,Core i5-7640X,163,84.1,2123,https://cpu.userbenchmark.com/SpeedTest/310543/IntelR-CoreTM-i5-7640X-CPU---400GHz
CPU,FH8068403419522,Intel,Core i5-8259U,296,73.1,4608,https://cpu.userbenchmark.com/SpeedTest/543736/IntelR-CoreTM-i5-8259U-CPU---230GHz
CPU,FJ8068404064604,Intel,Core i5-8265U,682,52.7,87841,https://cpu.userbenchmark.com/SpeedTest/566107/IntelR-CoreTM-i5-8265U-CPU---160GHz
CPU,CL8068403373522,Intel,Core i5-8300H,466,64.7,167898,https://cpu.userbenchmark.com/SpeedTest/425634/IntelR-CoreTM-i5-8300H-CPU---230GHz
CPU,BX80684I58400,Intel,Core i5-8400,182,81.8,312220,https://cpu.userbenchmark.com/Intel-Core-i5-8400/Rating/3939
CPU,CL8068403373614,Intel,Core i5-8400H,254,76.6,1303,https://cpu.userbenchmark.com/SpeedTest/524256/IntelR-CoreTM-i5-8400H-CPU---250GHz
CPU,CM8068403358913,Intel,Core i5-8400T,273,74.7,4624,https://cpu.userbenchmark.com/SpeedTest/475176/IntelR-CoreTM-i5-8400T-CPU---170GHz
CPU,BX80684I58500,Intel,Core i5-8500,177,82.1,43089,https://cpu.userbenchmark.com/SpeedTest/447884/IntelR-CoreTM-i5-8500-CPU---300GHz
CPU,CM8068403362509,Intel,Core i5-8500T,301,73,5135,https://cpu.userbenchmark.com/SpeedTest/532888/IntelR-CoreTM-i5-8500T-CPU---210GHz
CPU,BX80684I58600,Intel,Core i5-8600,123,88.2,18241,https://cpu.userbenchmark.com/SpeedTest/477251/IntelR-CoreTM-i5-8600-CPU---310GHz
CPU,BX80684I58600K,Intel,Core i5-8600K,113,90.7,264837,https://cpu.userbenchmark.com/Intel-Core-i5-8600K/Rating/3941
CPU,CM8068403358708,Intel,Core i5-8600T,175,82.2,375,https://cpu.userbenchmark.com/SpeedTest/506080/IntelR-CoreTM-i5-8600T-CPU---230GHz
CPU,BX80684I59400,Intel,Core i5-9400,139,86.5,22187,https://cpu.userbenchmark.com/SpeedTest/735306/IntelR-CoreTM-i5-9400-CPU---290GHz
CPU,BX80684I59400F,Intel,Core i5-9400F,158,84.8,299482,https://cpu.userbenchmark.com/Intel-Core-i5-9400F/Rating/4051
CPU,BX80684I59500,Intel,Core i5-9500,136,87,9059,https://cpu.userbenchmark.com/SpeedTest/825467/IntelR-CoreTM-i5-9500-CPU---300GHz
CPU,BX80684I59600,Intel,Core i5-9600,103,92.3,931,https://cpu.userbenchmark.com/SpeedTest/853186/IntelR-CoreTM-i5-9600-CPU---310GHz
CPU,BX80684I59600K,Intel,Core i5-9600K,96,93.2,321194,https://cpu.userbenchmark.com/Intel-Core-i5-9600K/Rating/4031
CPU,BX80684I59600KF,Intel,Core i5-9600KF,98,93.2,65122,https://cpu.userbenchmark.com/SpeedTest/772658/IntelR-CoreTM-i5-9600KF-CPU---370GHz
CPU,BX8070110700,Intel,Core i7-10700,102,92.6,71010,https://cpu.userbenchmark.com/Intel-Core-i7-10700/Rating/4077
CPU,BX8070110700F,Intel,Core i7-10700F,97,93.2,44448,https://cpu.userbenchmark.com/SpeedTest/1183814/IntelR-CoreTM-i7-10700F-CPU---290GHz
CPU,BX8070110700K,Intel,Core i7-10700K,79,96.5,198859,https://cpu.userbenchmark.com/Intel-Core-i7-10700K/Rating/4070
CPU,BX8070110700KF,Intel,Core i7-10700KF,80,96.3,37394,https://cpu.userbenchmark.com/SpeedTest/1171560/IntelR-CoreTM-i7-10700KF-CPU---380GHz
CPU,BX8070811700,Intel,Core i7-11700,66,98.1,11207,https://cpu.userbenchmark.com/SpeedTest/1450761/11th-Gen-IntelR-CoreTM-i7-11700---250GHz
CPU,BX8070811700F,Intel,Core i7-11700F,101,92.8,24456,https://cpu.userbenchmark.com/SpeedTest/1522100/11th-Gen-IntelR-CoreTM-i7-11700F---250GHz
CPU,BX8070811700K,Intel,Core i7-11700K,53,101,61928,https://cpu.userbenchmark.com/Intel-Core-i7-11700K/Rating/4107
CPU,BX8070811700KF,Intel,Core i7-11700KF,51,102,17565,https://cpu.userbenchmark.com/SpeedTest/1514594/11th-Gen-IntelR-CoreTM-i7-11700KF---360GHz
CPU,BX8071512700,Intel,Core i7-12700,36,108,15021,https://cpu.userbenchmark.com/SpeedTest/1750830/12th-Gen-IntelR-CoreTM-i7-12700
CPU,BX8071512700F,Intel,Core i7-12700F,33,109,16361,https://cpu.userbenchmark.com/Intel-Core-i7-12700F/Rating/4124
CPU,BX8071512700K,Intel,Core i7-12700K,22,114,78749,https://cpu.userbenchmark.com/Intel-Core-i7-12700K/Rating/4119
CPU,BX8071512700KF,Intel,Core i7-12700KF,24,114,35715,https://cpu.userbenchmark.com/SpeedTest/1699429/12th-Gen-IntelR-CoreTM-i7-12700KF
CPU,BX8071513700,Intel,Core i7-13700,11,121,326,https://cpu.userbenchmark.com/SpeedTest/1963418/13th-Gen-IntelR-CoreTM-i7-13700
