Model,price,frequency
Ripjaws 4 DDR4 2400 C14 8x16GB,1240,2400
Trident Z DDR4 3200 C14 4x16GB,366,3200
Ballistix Elite DDR4 3600 C16 4x8GB,240,3733
Flare X DDR4 3200 C14 4x8GB,198,3200
Trident Z DDR4 3600 C16 2x8GB,174,3600
Flare X DDR4 3200 C14 2x8GB,72,3800
Vengeance LPX DDR4 3600 C18 2x16GB,86,3600
Trident Z DDR4 3600 C17 2x8GB,89,3600
Ballistix Elite DDR4 3600 C16 2x8GB,232,3600
Ripjaws V DDR4 3200 C16 4x16GB,134,3200
Vengeance LPX DDR4 2666 C15 4x8GB,287,2800
Ripjaws 4 DDR4 3000 C15 4x4GB,224,3000
Vengeance RGB DDR4 3466 C16 2x8GB,243,3600
Vengeance LPX DDR4 3000 C15 4x4GB,68,3000
Vengeance LPX DDR4 3600 C18 2x8GB,48,3600
Vengeance RGB DDR4 3600 C18 2x8GB,239,3600
