Model,price
Black SN850X NVMe PCIe M.2 4TB,370
Black SN850X NVMe PCIe M.2 2TB,176
Black SN850 NVMe PCIe M.2 2TB,192
Black SN850X NVMe PCIe M.2 1TB,91
900P Optane NVMe PCIe 280GB,431
Rocket 4 NVMe PCIe M.2 2TB,173
970 Evo Plus NVMe PCIe M.2 2TB,114
980 Pro NVMe PCIe M.2 500GB,75
Force MP600 NVMe PCIe M.2 2TB,286
Aorus NVMe PCIe M.2 1TB,190
P5 Plus NVMe PCIe M.2 500GB,56
970 Evo Plus NVMe PCIe M.2 1TB,67
P5 3D NVMe PCIe M.2 2TB,134
EX950 NVMe PCIe M.2 2TB,139
970 Evo NVMe PCIe M.2 1TB,167
970 Evo NVMe PCIe M.2 2TB,256
P5 3D NVMe PCIe M.2 1TB,86
EX950 NVMe PCIe M.2 1TB,154
960 Pro NVMe PCIe M.2 1TB,239
XPG SX8200 Pro NVMe PCIe M.2 1TB,67
Black SN750 NVMe PCIe M.2 1TB (2019),71
Black SN750 NVMe PCIe M.2 2TB (2019),168
800p NVMe PCIe M.2 58GB,135
Black NVMe PCIe M.2 1TB (2018),71
980 NVMe PCIe M.2 1TB,64
670p NVMe PCIe M.2 1TB,53
Black SN750 NVMe PCIe M.2 500GB (2019),65
XPG SX8200 Pro NVMe PCIe M.2 512GB,50
960 Evo NVMe PCIe M.2 1TB,220
Force NVMe PCIe M.2 2TB,149
970 Evo NVMe PCIe M.2 250GB,43
970 Evo Plus NVMe PCIe M.2 250GB,43
Black NVMe PCIe M.2 500GB (2018),71
Rocket NVMe PCIe M.2 1TB,82
660p NVMe PCIe M.2 2TB,134
P2 3D NVMe PCIe M.2 2TB,131
XPG SX8200 NVMe PCIe M.2 480GB,58
960 Evo NVMe PCIe M.2 500GB,48
Black SN750 NVMe PCIe M.2 250GB (2019),96
P2 3D NVMe PCIe M.2 1TB,55
Black SN750 SE NVMe PCIe M.2 250GB,38
950 NVMe PCIe M.2 256GB,191
960 Evo NVMe PCIe M.2 250GB,54
M8Pe NVMe PCIe M.2 512GB,192
980 NVMe PCIe M.2 250GB,38
M8Pe NVMe PCIe M.2 1TB,144
